CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.088046833872795105)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.031759314239025116)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.028733458369970322)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.029643714427947998)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.031117210164666176)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.03158024325966835)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.047829270362854004)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.0782204270362854)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.14947488903999329)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.035218734294176102)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.012703726068139076)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.011493382975459099)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.011857485398650169)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.01244688406586647)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.012632097117602825)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.019131708890199661)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.031288169324398041)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.986369+((-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18))))))))-0.059789955615997314)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.088046833872795105" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.031759314239025116" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.028733458369970322" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.029643714427947998" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.031117210164666176" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.03158024325966835" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.047829270362854004" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.0782204270362854" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.14947488903999329" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.035218734294176102" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.012703726068139076" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.011493382975459099" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.011857485398650169" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.01244688406586647" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.012632097117602825" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.019131708890199661" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.031288169324398041" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.986369+(-(4.21155e-05*(log(x+19)*(log(x+18)*(3-(-(6.02128*log(x+18)))))))))+0.059789955615997314" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.01454+(-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.09337761253118515)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.036730833351612091)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.040865685790777206)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.047784827649593353)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.082794070243835449)" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.13086187839508057)" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.18196970224380493)" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.12326750904321671)" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.14682178199291229)" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.03735104575753212)" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.01454+((-(0.000570005*(log(x+19)*(log(x+18)*(3-(-(0.360097*log(x+18))))))))-0.014692332595586777)" 
