CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.970243+(4.94729e-05*x)" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.970243+(4.94729e-05*x)" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.970243+((4.94729e-05*x)-0.081346169114112854)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.970243+((4.94729e-05*x)-0.040213383734226227)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.970243+((4.94729e-05*x)-0.033354602754116058)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.970243+((4.94729e-05*x)-0.029873942956328392)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.970243+((4.94729e-05*x)-0.030998578295111656)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.970243+((4.94729e-05*x)-0.037925884127616882)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.970243+((4.94729e-05*x)-0.043701909482479095)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.970243+((4.94729e-05*x)-0.075903214514255524)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.970243+((4.94729e-05*x)-0.087545424699783325)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.970243+((4.94729e-05*x)-0.032538466155529022)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.970243+((4.94729e-05*x)-0.016085352748632431)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.970243+((4.94729e-05*x)-0.013341841287910938)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.970243+((4.94729e-05*x)-0.011949577368795872)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.970243+((4.94729e-05*x)-0.012399431318044662)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.970243+((4.94729e-05*x)-0.015170353464782238)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.970243+((4.94729e-05*x)-0.017480764538049698)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.970243+((4.94729e-05*x)-0.03036128543317318)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.970243+((4.94729e-05*x)-0.035018168389797211)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.970243+(4.94729e-05*x))+0.081346169114112854" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.970243+(4.94729e-05*x))+0.040213383734226227" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.970243+(4.94729e-05*x))+0.033354602754116058" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.970243+(4.94729e-05*x))+0.029873942956328392" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.970243+(4.94729e-05*x))+0.030998578295111656" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.970243+(4.94729e-05*x))+0.037925884127616882" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.970243+(4.94729e-05*x))+0.043701909482479095" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.970243+(4.94729e-05*x))+0.075903214514255524" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.970243+(4.94729e-05*x))+0.087545424699783325" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.970243+(4.94729e-05*x))+0.032538466155529022" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.970243+(4.94729e-05*x))+0.016085352748632431" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.970243+(4.94729e-05*x))+0.013341841287910938" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.970243+(4.94729e-05*x))+0.011949577368795872" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.970243+(4.94729e-05*x))+0.012399431318044662" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.970243+(4.94729e-05*x))+0.015170353464782238" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.970243+(4.94729e-05*x))+0.017480764538049698" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.970243+(4.94729e-05*x))+0.03036128543317318" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.970243+(4.94729e-05*x))+0.035018168389797211" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.928499+(0.000755102*(log(x+19)*(log(x+18)*(3-(-(0.0305122*log(x+18)))))))" 
