{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.925727    -0.00346332    7.74866e-05
-4.889  -4.716       5     0   200       0.917609    -0.00511138    0.000116424
-4.716  -4.538       5     0   200       0.916149    -0.00606477    0.000138334
-4.538  -4.363       5     0   200       0.919906    -0.00660187    0.000151337
-4.363  -4.191       5     0   200        0.93968    -0.00635817     0.00014462
-4.191  -4.013       5     0   200       0.971856    -0.00572164    0.000127716
-4.013  -3.839       5     0   200        1.02066     -0.0050867    0.000109391
-3.839  -3.664       5     0   200        1.09727    -0.00450466    8.99852e-05
-3.664  -3.489       5     0   200        1.18323    -0.00467543    8.96087e-05
-3.489  -3.314       5     0   200        1.28255    -0.00579722    0.000110891
-3.314  -3.139       5     0   200        1.31893    -0.00447791    9.32744e-05
-3.139  -2.964       5     0   200        1.12881    -0.00226684    4.12797e-05
-2.964  -2.853       5     0   200       0.971679    -0.00127968    -9.8215e-06
-2.853   -2.65       5     0   200        0.82983   -0.000267151   -6.87121e-05
-2.65    -2.5       5     0   200       0.722357   -0.000295686   -8.31299e-05
-2.5  -2.322       5     0   200       0.727972    0.000903963    -8.5702e-05
-2.322  -2.172       5     0   200       0.784731     0.00225376   -5.75864e-05
-2.172  -2.043       5     0   200        0.82935    0.000107866    4.02842e-05
-2.043   -1.93       5     0   200       0.864054    -0.00130274    9.03548e-05
-1.93   -1.83       5     0   200        0.88637    -0.00202571    0.000105464
-1.83   -1.74       5     0   200       0.900671    -0.00178017    9.83517e-05
-1.74  -1.653       5     0   200       0.921534    -0.00133558    8.43481e-05
-1.653  -1.566       5     0   200       0.932735   -0.000585609    6.19164e-05
-1.566  -1.479       5     0   200       0.945111    8.97091e-05    4.15634e-05
-1.479  -1.392       5     0   200       0.960655     0.00070782    2.32323e-05
-1.392  -1.305       5     0   200       0.982446    0.000766552     2.2587e-05
-1.305  -1.218       5     0   200        1.01116    0.000295588    3.67591e-05
-1.218  -1.131       5     0   200        1.03592    0.000394283    3.45356e-05
-1.131  -1.044       5     0   200        1.05493    0.000259437     3.9014e-05
-1.044  -0.957       5     0   200        1.07398   -0.000751187     6.4094e-05
-0.957  -0.879       5     0   200        1.09039     -0.0022621    0.000108796
-0.879  -0.783       5     0   200        1.11995    -0.00423211    0.000162308
-0.783  -0.696       5     0   200        1.13871    -0.00604727    0.000214708
-0.696  -0.609       5     0   200        1.15386     -0.0076665    0.000261676
-0.609  -0.522       5     0   200        1.16699    -0.00871499    0.000291163
-0.522  -0.435       5     0   200        1.18031    -0.00934445    0.000306879
-0.435  -0.348       5     0   200        1.19319    -0.00964373    0.000309091
-0.348  -0.261       5     0   200        1.20092    -0.00957142    0.000298403
-0.261  -0.174       5     0   200        1.20364    -0.00916137    0.000280149
-0.174  -0.087       5     0   200        1.19278    -0.00765003    0.000234276
-0.087       0       5     0   200        1.17817    -0.00631343    0.000197551
0   0.087       5     0   200        1.16558    -0.00540761     0.00017465
0.087   0.174       5     0   200        1.15902    -0.00529051    0.000171048
0.174   0.261       5     0   200        1.14671    -0.00487798    0.000161071
0.261   0.348       5     0   200        1.12845    -0.00417515    0.000147294
