{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.915467    -0.00506969    0.000114651
-4.889  -4.716       5     0   200       0.922308    -0.00566171    0.000129216
-4.716  -4.538       5     0   200        0.93508    -0.00564709    0.000128092
-4.538  -4.363       5     0   200       0.950736    -0.00555465    0.000124824
-4.363  -4.191       5     0   200       0.978885    -0.00555337    0.000122988
-4.191  -4.013       5     0   200        1.02058    -0.00559762    0.000121826
-4.013  -3.839       5     0   200        1.06366     -0.0055463    0.000118048
-3.839  -3.664       5     0   200        1.11915    -0.00556093    0.000114198
-3.664  -3.489       5     0   200        1.14305    -0.00479473    9.78553e-05
-3.489  -3.314       5     0   200        1.11758    -0.00375466    7.15046e-05
-3.314  -3.139       5     0   200        1.08421    -0.00228455    3.10772e-05
-3.139  -2.964       5     0   200        1.03759   -0.000506302   -1.75667e-05
-2.964  -2.853       5     0   200        0.99507    0.000741046   -5.17153e-05
-2.853   -2.65       5     0   200       0.942484     0.00168761   -7.97461e-05
-2.65    -2.5       5     0   200       0.883022     0.00253404   -0.000105482
-2.5  -2.322       5     0   200       0.838523      0.0034078    -0.00013069
-2.322  -2.172       5     0   200       0.810579     0.00391903   -0.000141907
-2.172  -2.043       5     0   200       0.813303     0.00449677   -0.000151815
-2.043   -1.93       5     0   200       0.837395     0.00503078   -0.000157158
-1.93   -1.83       5     0   200       0.861736     0.00522582   -0.000154461
-1.83   -1.74       5     0   200       0.877907      0.0051669   -0.000148538
-1.74  -1.653       5     0   200       0.892669     0.00496756   -0.000140398
-1.653  -1.566       5     0   200       0.907495     0.00467535    -0.00013102
-1.566  -1.479       5     0   200       0.920339     0.00453289   -0.000125755
-1.479  -1.392       5     0   200       0.930853     0.00456764   -0.000125575
-1.392  -1.305       5     0   200       0.940827     0.00458917   -0.000125159
-1.305  -1.218       5     0   200       0.952453     0.00436625   -0.000118295
-1.218  -1.131       5     0   200       0.965036     0.00401363   -0.000108634
-1.131  -1.044       5     0   200       0.978699     0.00350772   -9.53971e-05
-1.044  -0.957       5     0   200       0.992572     0.00297929   -8.18065e-05
-0.957  -0.879       5     0   200        1.00592     0.00248156   -6.90179e-05
-0.879  -0.783       5     0   200        1.01949     0.00205489    -5.8857e-05
-0.783  -0.696       5     0   200        1.03186     0.00168989   -5.08507e-05
-0.696  -0.609       5     0   200        1.04333     0.00115447   -3.87289e-05
