{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.843864     0.00675468   -0.000194661
-4.889  -4.716       5     0   200       0.842016     0.00440373   -0.000136909
-4.716  -4.538       5     0   200       0.847395     0.00268128   -9.41179e-05
-4.538  -4.363       5     0   200       0.857751     0.00141023   -6.15354e-05
-4.363  -4.191       5     0   200       0.878814     0.00153411   -6.53423e-05
-4.191  -4.013       5     0   200       0.906131     0.00274841   -9.80738e-05
-4.013  -3.839       5     0   200       0.945062     0.00453087   -0.000147446
-3.839  -3.664       5     0   200        1.01016     0.00647821   -0.000203334
-3.664  -3.489       5     0   200        1.08735     0.00736798   -0.000232198
-3.489  -3.314       5     0   200        1.17884     0.00721333   -0.000237084
-3.314  -3.139       5     0   200        1.20835     0.00966009   -0.000288373
-3.139  -2.964       5     0   200        1.02563      0.0119868   -0.000354944
-2.964  -2.853       5     0   200       0.870333       0.013766   -0.000439842
-2.853   -2.65       5     0   200       0.733629      0.0149089   -0.000512303
-2.65    -2.5       5     0   200       0.636099      0.0136776   -0.000497559
-2.5  -2.322       5     0   200       0.653009      0.0125804   -0.000428958
-2.322  -2.172       5     0   200       0.732189      0.0093991   -0.000255132
-2.172  -2.043       5     0   200       0.803663     0.00219725    7.77904e-06
-2.043   -1.93       5     0   200       0.851544    -0.00165891    0.000141233
-1.93   -1.83       5     0   200        0.88211    -0.00355119     0.00019313
-1.83   -1.74       5     0   200       0.898083    -0.00327652    0.000183938
-1.74  -1.653       5     0   200       0.921713    -0.00277291    0.000163195
-1.653  -1.566       5     0   200       0.940529    -0.00236888    0.000141766
-1.566  -1.479       5     0   200         0.9576    -0.00166066    0.000111109
-1.479  -1.392       5     0   200       0.976706   -0.000906219    7.99725e-05
-1.392  -1.305       5     0   200        1.00763    -0.00141946    8.67111e-05
-1.305  -1.218       5     0   200        1.03901     -0.0019527    9.79019e-05
-1.218  -1.131       5     0   200        1.06709    -0.00218262    0.000103371
-1.131  -1.044       5     0   200        1.08462    -0.00230639    0.000108727
-1.044  -0.957       5     0   200        1.10046    -0.00308833    0.000126322
-0.957  -0.879       5     0   200        1.10624    -0.00357373    0.000143912
-0.879  -0.783       5     0   200        1.12103    -0.00417282    0.000162522
-0.783  -0.696       5     0   200        1.12991    -0.00515013    0.000194028
-0.696  -0.609       5     0   200        1.13791    -0.00612576    0.000222848
-0.609  -0.522       5     0   200        1.14202    -0.00615804    0.000221845
-0.522  -0.435       5     0   200        1.15249    -0.00631955    0.000219585
-0.435  -0.348       5     0   200        1.16087    -0.00609152    0.000204605
-0.348  -0.261       5     0   200        1.16695    -0.00588018    0.000189104
-0.261  -0.174       5     0   200        1.16399    -0.00497656    0.000159059
-0.174  -0.087       5     0   200        1.15792     -0.0040677    0.000129617
-0.087       0       5     0   200        1.14487    -0.00295814    9.98857e-05
0   0.087       5     0   200        1.12855    -0.00168367    6.81538e-05
0.087   0.174       5     0   200        1.11389    -0.00060573    3.93725e-05
0.174   0.261       5     0   200        1.09581    0.000510035    1.13247e-05
0.261   0.348       5     0   200        1.07197     0.00196562   -2.32858e-05
