{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.843864     0.00675468   -0.000194661
-4.889  -4.716       5     0   200       0.842016     0.00440373   -0.000136909
-4.716  -4.538       5     0   200       0.847395     0.00268128   -9.41179e-05
-4.538  -4.363       5     0   200       0.857751     0.00141023   -6.15354e-05
-4.363  -4.191       5     0   200       0.878814     0.00153411   -6.53423e-05
-4.191  -4.013       5     0   200       0.906131     0.00274841   -9.80738e-05
-4.013  -3.839       5     0   200       0.945062     0.00453087   -0.000147446
-3.839  -3.664       5     0   200        1.01016     0.00647821   -0.000203334
-3.664  -3.489       5     0   200        1.08735     0.00736798   -0.000232198
-3.489  -3.314       5     0   200        1.17884     0.00721333   -0.000237084
-3.314  -3.139       5     0   200        1.20835     0.00966009   -0.000288373
-3.139  -2.964       5     0   200        1.02563      0.0119868   -0.000354944
-2.964  -2.853       5     0   200       0.870336      0.0137657   -0.000439836
-2.853   -2.65       5     0   200       0.729372      0.0156261    -0.00053415
-2.65    -2.5       5     0   200       0.641192      0.0159781   -0.000562198
-2.5  -2.322       5     0   200       0.670803      0.0164763   -0.000550304
-2.322  -2.172       5     0   200       0.736315      0.0158235   -0.000492386
-2.172  -2.043       5     0   200       0.778022      0.0131893   -0.000398835
-2.043   -1.93       5     0   200       0.807586      0.0113186    -0.00033695
-1.93   -1.83       5     0   200       0.829205     0.00976119   -0.000287345
-1.83   -1.74       5     0   200       0.842752     0.00912806   -0.000261978
-1.74  -1.653       5     0   200       0.861331     0.00836908   -0.000237878
-1.653  -1.566       5     0   200       0.881464      0.0072196   -0.000205747
-1.566  -1.479       5     0   200        0.90371     0.00601568   -0.000173393
-1.479  -1.392       5     0   200       0.922317     0.00554565   -0.000161692
-1.392  -1.305       5     0   200        0.93939     0.00535722   -0.000156681
-1.305  -1.218       5     0   200       0.956888     0.00525909   -0.000155769
-1.218  -1.131       5     0   200       0.966985     0.00591707   -0.000174676
-1.131  -1.044       5     0   200       0.974169     0.00642371   -0.000188282
-1.044  -0.957       5     0   200       0.977328     0.00697378   -0.000205846
-0.957  -0.879       5     0   200        0.97484        0.00776   -0.000225609
-0.879  -0.783       5     0   200        0.97689     0.00844046   -0.000244975
-0.783  -0.696       5     0   200       0.983564     0.00810143   -0.000236308
-0.696  -0.609       5     0   200       0.997319     0.00682516   -0.000204025
-0.609  -0.522       5     0   200        1.00866      0.0059653   -0.000183797
-0.522  -0.435       5     0   200        1.01743     0.00556594   -0.000177453
-0.435  -0.348       5     0   200        1.02704     0.00508392   -0.000170919
-0.348  -0.261       5     0   200        1.03515     0.00458165   -0.000164438
-0.261  -0.174       5     0   200        1.03857     0.00447442   -0.000167168
-0.174  -0.087       5     0   200        1.03589     0.00485324   -0.000181437
-0.087       0       5     0   200        1.02704     0.00568048   -0.000204434
0   0.087       5     0   200        1.01635     0.00667164   -0.000230556
0.087   0.174       5     0   200         1.0067       0.007534   -0.000252911
0.174   0.261       5     0   200       0.998917     0.00809671   -0.000267186
0.261   0.348       5     0   200        0.98869     0.00876038   -0.000281129
0.348   0.435       5     0   200       0.980083     0.00922357   -0.000288638
0.435   0.522       5     0   200       0.969372     0.00999261   -0.000304539
0.522   0.609       5     0   200       0.962026      0.0102529   -0.000306403
0.609   0.696       5     0   200       0.953488      0.0109343   -0.000322939
0.696   0.783       5     0   200       0.953358       0.010651    -0.00031284
0.783   0.879       5     0   200       0.944312      0.0109374   -0.000316008
0.879   0.957       5     0   200       0.933927      0.0108365   -0.000305768
0.957   1.044       5     0   200       0.930581      0.0108375   -0.000304938
1.044   1.131       5     0   200       0.923671      0.0110596   -0.000310262
1.131   1.218       5     0   200       0.913829      0.0111429   -0.000313167
1.218   1.305       5     0   200       0.906655      0.0104494   -0.000296128
1.305   1.392       5     0   200       0.896819      0.0100682   -0.000287099
1.392   1.479       5     0   200       0.887269     0.00966297   -0.000277178
1.479   1.566       5     0   200       0.877872     0.00946189   -0.000273955
1.566   1.653       5     0   200       0.877495     0.00844993   -0.000248679
1.653    1.74       5     0   200       0.874499     0.00765904   -0.000228927
1.74    1.83       5     0   200       0.865982     0.00700298   -0.000211679
1.83    1.93       5     0   200       0.862077     0.00651043   -0.000203076
1.93   2.043       5     0   200       0.852475     0.00678173   -0.000214682
2.043   2.172       5     0   200       0.835162     0.00732806   -0.000236886
2.172   2.322       5     0   200       0.788383      0.0101794   -0.000324846
2.322     2.5       5     0   200       0.698841      0.0129166   -0.000436787
2.5    2.65       5     0   200       0.654027      0.0136659   -0.000488047
2.65   2.853       5     0   200       0.721687      0.0140051   -0.000484473
2.853   2.964       5     0   200        0.85261      0.0123127   -0.000402354
2.964   3.139       5     0   200         1.0134     0.00909624   -0.000283824
3.139   3.314       5     0   200        1.21427     0.00388081    -0.00013131
3.314   3.489       5     0   200        1.20578    -0.00025717   -3.69598e-05
3.489   3.664       5     0   200        1.12052   -0.000141833   -3.55309e-05
3.664   3.839       5     0   200        1.03967    0.000388681   -4.72499e-05
3.839   4.013       5     0   200       0.964768     0.00101419   -6.23797e-05
4.013   4.191       5     0   200        0.91935     0.00102202   -6.30404e-05
4.191   4.363       5     0   200       0.896828    0.000289623   -4.58365e-05
4.363   4.538       5     0   200       0.882254   -0.000263991   -3.23033e-05
4.538   4.716       5     0   200       0.879944    -0.00010616   -3.54511e-05
4.716   4.889       5     0   200       0.882036     0.00078225   -5.47871e-05
4.889   5.191       5     0   200       0.894653     0.00192084   -7.66415e-05
