{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.891225    -0.00314701    8.88823e-05
-4.889  -4.716       5     0   200       0.902228    -0.00407244    0.000110868
-4.716  -4.538       5     0   200        0.91498     -0.0039732    0.000106326
-4.538  -4.363       5     0   200       0.928628    -0.00361225    9.52366e-05
-4.363  -4.191       5     0   200       0.956845    -0.00358858    9.23953e-05
-4.191  -4.013       5     0   200       0.995595     -0.0032844    8.15949e-05
-4.013  -3.839       5     0   200        1.03584    -0.00290029    6.82407e-05
-3.839  -3.664       5     0   200        1.08878    -0.00265943    5.77044e-05
-3.664  -3.489       5     0   200        1.10243   -0.000857398     1.2804e-05
-3.489  -3.314       5     0   200        1.06453     0.00170787   -6.01507e-05
-3.314  -3.139       5     0   200        1.02338     0.00448986   -0.000144226
-3.139  -2.964       5     0   200        0.97098     0.00737153   -0.000231621
-2.964  -2.853       5     0   200        0.92501     0.00933471   -0.000292784
-2.853   -2.65       5     0   200       0.868126      0.0109889   -0.000346994
-2.65    -2.5       5     0   200       0.810553      0.0117204   -0.000375519
-2.5  -2.322       5     0   200       0.769314      0.0121447   -0.000390658
-2.322  -2.172       5     0   200       0.748243       0.011697   -0.000375692
-2.172  -2.043       5     0   200       0.762096      0.0109315   -0.000347354
-2.043   -1.93       5     0   200       0.794987      0.0103285   -0.000318784
-1.93   -1.83       5     0   200       0.827481     0.00941548   -0.000282816
-1.83   -1.74       5     0   200       0.849836      0.0084282   -0.000248673
-1.74  -1.653       5     0   200       0.869549     0.00750309   -0.000218654
-1.653  -1.566       5     0   200       0.887678     0.00673411   -0.000194997
-1.566  -1.479       5     0   200       0.903202     0.00622137   -0.000178761
-1.479  -1.392       5     0   200       0.916471     0.00592658   -0.000169365
-1.392  -1.305       5     0   200       0.929287     0.00564821   -0.000161248
-1.305  -1.218       5     0   200       0.942769     0.00525304   -0.000150516
-1.218  -1.131       5     0   200       0.955805     0.00488679   -0.000141551
-1.131  -1.044       5     0   200       0.969912      0.0043702   -0.000129283
-1.044  -0.957       5     0   200       0.984739     0.00376764   -0.000115033
-0.957  -0.879       5     0   200       0.998814     0.00320922   -0.000101914
-0.879  -0.783       5     0   200        1.01206     0.00282505   -9.41398e-05
-0.783  -0.696       5     0   200          1.023     0.00258196   -9.07162e-05
-0.696  -0.609       5     0   200        1.03264     0.00215192   -8.25269e-05
-0.609  -0.522       5     0   200        1.03914     0.00177666   -7.46264e-05
-0.522  -0.435       5     0   200        1.04208     0.00170328   -7.36156e-05
-0.435  -0.348       5     0   200        1.04081     0.00201617    -8.2947e-05
-0.348  -0.261       5     0   200        1.03857     0.00227575   -9.03679e-05
-0.261  -0.174       5     0   200        1.03846     0.00226925    -9.0708e-05
-0.174  -0.087       5     0   200        1.03853     0.00221169   -8.93162e-05
-0.087       0       5     0   200        1.03844     0.00210046    -8.5827e-05
0   0.087       5     0   200        1.03675     0.00210219   -8.52504e-05
0.087   0.174       5     0   200        1.03342     0.00221815   -8.72038e-05
0.174   0.261       5     0   200        1.02898     0.00243321   -9.15601e-05
0.261   0.348       5     0   200        1.02309     0.00282337   -0.000100546
0.348   0.435       5     0   200        1.01688      0.0031864   -0.000108283
0.435   0.522       5     0   200        1.00797     0.00365394   -0.000117776
0.522   0.609       5     0   200       0.999832     0.00404998   -0.000125902
0.609   0.696       5     0   200        0.99376     0.00430144   -0.000130581
0.696   0.783       5     0   200       0.987631     0.00436539   -0.000129544
0.783   0.879       5     0   200       0.980348     0.00438891   -0.000128472
0.879   0.957       5     0   200       0.973843     0.00429339   -0.000124673
0.957   1.044       5     0   200       0.969367     0.00407042   -0.000118365
1.044   1.131       5     0   200       0.966306     0.00368387   -0.000108489
1.131   1.218       5     0   200       0.963676     0.00320289   -9.62801e-05
1.218   1.305       5     0   200       0.960779     0.00266853   -8.23345e-05
1.305   1.392       5     0   200       0.955154     0.00242497     -7.701e-05
1.392   1.479       5     0   200       0.949272     0.00220778   -7.34412e-05
1.479   1.566       5     0   200       0.943113     0.00201054   -7.12162e-05
1.566   1.653       5     0   200       0.935421     0.00191639    -7.2134e-05
1.653    1.74       5     0   200       0.925726     0.00198379     -7.746e-05
1.74    1.83       5     0   200       0.911564       0.002444   -9.39012e-05
1.83    1.93       5     0   200       0.891825     0.00325507     -0.0001213
1.93   2.043       5     0   200       0.864105      0.0038155   -0.000147016
2.043   2.172       5     0   200       0.832384     0.00441686   -0.000175319
2.172   2.322       5     0   200       0.816603     0.00532585   -0.000206041
2.322     2.5       5     0   200       0.829551     0.00610126   -0.000227446
2.5    2.65       5     0   200       0.859518     0.00625626   -0.000226037
2.65   2.853       5     0   200       0.904634     0.00596502   -0.000208152
2.853   2.964       5     0   200       0.950385     0.00485816    -0.00016993
