{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.891225    -0.00314701    8.88823e-05
-4.889  -4.716       5     0   200       0.902228    -0.00407244    0.000110868
-4.716  -4.538       5     0   200        0.91498     -0.0039732    0.000106326
-4.538  -4.363       5     0   200       0.928628    -0.00361225    9.52366e-05
-4.363  -4.191       5     0   200       0.956845    -0.00358858    9.23953e-05
-4.191  -4.013       5     0   200       0.995595     -0.0032844    8.15949e-05
-4.013  -3.839       5     0   200        1.03584    -0.00290029    6.82407e-05
-3.839  -3.664       5     0   200        1.08878    -0.00265943    5.77044e-05
-3.664  -3.489       5     0   200        1.10243   -0.000857398     1.2804e-05
-3.489  -3.314       5     0   200        1.06453      0.0017078   -6.01493e-05
-3.314  -3.139       5     0   200        1.02493     0.00437629   -0.000140377
-3.139  -2.964       5     0   200        0.97972     0.00672887   -0.000208898
-2.964  -2.853       5     0   200       0.940972     0.00812045   -0.000247744
-2.853   -2.65       5     0   200       0.887505     0.00908284   -0.000275431
-2.65    -2.5       5     0   200       0.824795     0.00870329   -0.000267434
-2.5  -2.322       5     0   200       0.771815     0.00775409   -0.000243217
-2.322  -2.172       5     0   200       0.734761     0.00593817   -0.000191637
-2.172  -2.043       5     0   200          0.749     0.00400998   -0.000123723
-2.043   -1.93       5     0   200       0.795669     0.00281484   -5.99037e-05
-1.93   -1.83       5     0   200       0.843775     0.00156015    4.12527e-06
-1.83   -1.74       5     0   200       0.879579   -0.000168156    7.01253e-05
-1.74  -1.653       5     0   200       0.912202    -0.00178817    0.000126045
-1.653  -1.566       5     0   200       0.940634    -0.00284673    0.000159275
-1.566  -1.479       5     0   200       0.964309    -0.00336787     0.00017451
-1.479  -1.392       5     0   200       0.983063    -0.00340799    0.000171838
-1.392  -1.305       5     0   200        1.00227    -0.00365891    0.000174853
-1.305  -1.218       5     0   200        1.02149     -0.0040462    0.000181457
-1.218  -1.131       5     0   200          1.039    -0.00427695    0.000182771
-1.131  -1.044       5     0   200        1.05779    -0.00474329    0.000190921
-1.044  -0.957       5     0   200         1.0778     -0.0053205    0.000202476
-0.957  -0.879       5     0   200        1.09827    -0.00593269    0.000215909
-0.879  -0.783       5     0   200        1.12054    -0.00651544    0.000228912
-0.783  -0.696       5     0   200        1.13913    -0.00687372    0.000236085
-0.696  -0.609       5     0   200        1.15297    -0.00736636     0.00024655
-0.609  -0.522       5     0   200        1.16169    -0.00790518    0.000260571
-0.522  -0.435       5     0   200        1.16793    -0.00832185    0.000273595
-0.435  -0.348       5     0   200        1.17083    -0.00849726    0.000280522
-0.348  -0.261       5     0   200        1.17095      -0.008599    0.000285249
-0.261  -0.174       5     0   200        1.17274    -0.00885344    0.000292557
-0.174  -0.087       5     0   200        1.17553    -0.00923087    0.000302878
-0.087       0       5     0   200        1.17871    -0.00975351    0.000317384
0   0.087       5     0   200        1.17757    -0.00986758    0.000320194
0.087   0.174       5     0   200        1.17292    -0.00963344    0.000312944
0.174   0.261       5     0   200        1.16763    -0.00934762    0.000304515
0.261   0.348       5     0   200        1.16303    -0.00905817    0.000295902
0.348   0.435       5     0   200        1.16019    -0.00906294    0.000295747
0.435   0.522       5     0   200        1.15183    -0.00884627    0.000291407
0.522   0.609       5     0   200        1.14346    -0.00859368    0.000285809
0.609   0.696       5     0   200        1.13736    -0.00838343    0.000281499
0.696   0.783       5     0   200        1.12672    -0.00806138    0.000275477
0.783   0.879       5     0   200        1.11433    -0.00789896    0.000272034
0.879   0.957       5     0   200        1.10313    -0.00794544     0.00027421
0.957   1.044       5     0   200        1.09409    -0.00805548    0.000278463
1.044   1.131       5     0   200        1.08611     -0.0082792    0.000286409
1.131   1.218       5     0   200        1.07925     -0.0087246    0.000301574
1.218   1.305       5     0   200         1.0718    -0.00931352    0.000322919
1.305   1.392       5     0   200        1.06118    -0.00961968    0.000336585
1.392   1.479       5     0   200        1.05059    -0.00998218    0.000350656
1.479   1.566       5     0   200        1.04036     -0.0104688    0.000367132
1.566   1.653       5     0   200        1.02525     -0.0105559    0.000369172
1.653    1.74       5     0   200        1.00465     -0.0100848    0.000353286
1.74    1.83       5     0   200        0.97359    -0.00854436    0.000303124
1.83    1.93       5     0   200       0.931648    -0.00615205    0.000223755
1.93   2.043       5     0   200       0.878049    -0.00418565    0.000141227
2.043   2.172       5     0   200       0.825143    -0.00236542    6.06434e-05
2.172   2.322       5     0   200       0.804488   -8.48612e-05    -1.8184e-05
2.322     2.5       5     0   200       0.825507     0.00251909      -9.29e-05
2.5    2.65       5     0   200        0.86367      0.0042098   -0.000138798
2.65   2.853       5     0   200       0.913637     0.00492078   -0.000157313
2.853   2.964       5     0   200       0.958742     0.00429118   -0.000141954
2.964   3.139       5     0   200       0.994919     0.00284909   -0.000103895
3.139   3.314       5     0   200        1.03466    0.000653817   -4.33093e-05
3.314   3.489       5     0   200        1.07707    -0.00225922    3.96425e-05
3.489   3.664       5     0   200        1.11303    -0.00468282    0.000110082
3.664   3.839       5     0   200        1.10194    -0.00643753    0.000154345
3.839   4.013       5     0   200        1.05548    -0.00666384    0.000161798
4.013   4.191       5     0   200         1.0168    -0.00669432    0.000163533
4.191   4.363       5     0   200       0.979433    -0.00643053     0.00015734
4.363   4.538       5     0   200       0.952268    -0.00607786    0.000149796
4.538   4.716       5     0   200       0.937741    -0.00594133    0.000147106
4.716   4.889       5     0   200       0.929604    -0.00611365    0.000153102
4.889   5.191       5     0   200       0.922417    -0.00570025    0.000143246
