{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.869588     0.00227212    -4.2151e-05
-4.889  -4.716       5     0   200       0.867499    0.000292227    4.33649e-06
-4.716  -4.538       5     0   200       0.869674   -0.000796107    2.86258e-05
-4.538  -4.363       5     0   200       0.873663    -0.00121718    3.66612e-05
-4.363  -4.191       5     0   200       0.889752    -0.00052487    1.62339e-05
-4.191  -4.013       5     0   200       0.918578     0.00049726   -1.23981e-05
-4.013  -3.839       5     0   200       0.964816     0.00137957   -3.81851e-05
-3.839  -3.664       5     0   200        1.03845     0.00221999   -6.36874e-05
-3.664  -3.489       5     0   200         1.1227     0.00213805   -6.52053e-05
-3.489  -3.314       5     0   200        1.21711     0.00136782   -5.09468e-05
-3.314  -3.139       5     0   200        1.24591     0.00366855   -9.33664e-05
-3.139  -2.964       5     0   200        1.04854     0.00822838   -0.000224389
-2.964  -2.853       5     0   200       0.883083      0.0118768   -0.000366229
-2.853   -2.65       5     0   200       0.732564       0.015393   -0.000512729
-2.65    -2.5       5     0   200       0.624487      0.0159398   -0.000558716
-2.5  -2.322       5     0   200       0.635646      0.0153079   -0.000511324
-2.322  -2.172       5     0   200       0.707551      0.0120104   -0.000337223
-2.172  -2.043       5     0   200       0.769006     0.00469255   -6.84237e-05
-2.043   -1.93       5     0   200        0.81456    2.17201e-06     9.2606e-05
-1.93   -1.83       5     0   200       0.842955    -0.00220389    0.000155834
-1.83   -1.74       5     0   200        0.86469     -0.0024173     0.00015797
-1.74  -1.653       5     0   200       0.899261    -0.00239028    0.000143564
-1.653  -1.566       5     0   200       0.928383    -0.00221036    0.000121083
-1.566  -1.479       5     0   200       0.958665    -0.00207389    9.94043e-05
-1.479  -1.392       5     0   200       0.992902     -0.0020356    8.05215e-05
-1.392  -1.305       5     0   200        1.03449    -0.00276565     8.7021e-05
-1.305  -1.218       5     0   200        1.07931    -0.00378647    0.000105213
-1.218  -1.131       5     0   200        1.12013    -0.00453269    0.000119685
-1.131  -1.044       5     0   200        1.14374    -0.00485151    0.000126882
-1.044  -0.957       5     0   200        1.16216    -0.00593187    0.000155149
-0.957  -0.879       5     0   200        1.16827    -0.00675057    0.000185137
-0.879  -0.783       5     0   200        1.18268    -0.00763559    0.000213629
-0.783  -0.696       5     0   200        1.18556    -0.00832091    0.000239901
-0.696  -0.609       5     0   200         1.1871    -0.00899805    0.000264917
-0.609  -0.522       5     0   200         1.1886    -0.00911262    0.000269919
-0.522  -0.435       5     0   200        1.19448    -0.00917102     0.00027017
-0.435  -0.348       5     0   200        1.20172    -0.00909689    0.000263087
-0.348  -0.261       5     0   200        1.20899    -0.00917955     0.00025801
-0.261  -0.174       5     0   200        1.20815    -0.00863888    0.000238766
-0.174  -0.087       5     0   200        1.20018    -0.00767026    0.000210181
-0.087       0       5     0   200        1.18697    -0.00657608     0.00018162
0   0.087       5     0   200        1.17324    -0.00557487    0.000157131
0.087   0.174       5     0   200        1.16493    -0.00523446     0.00014997
0.174   0.261       5     0   200        1.15486    -0.00498722    0.000146698
0.261   0.348       5     0   200        1.14074     -0.0045512    0.000139978
0.348   0.435       5     0   200        1.12774    -0.00428045    0.000138999
0.435   0.522       5     0   200        1.11546    -0.00349781     0.00011829
0.522   0.609       5     0   200        1.11315    -0.00376816    0.000124885
0.609   0.696       5     0   200        1.11425    -0.00378482    0.000122433
0.696   0.783       5     0   200         1.1261    -0.00469953     0.00014117
0.783   0.879       5     0   200        1.12769    -0.00495133    0.000142628
0.879   0.957       5     0   200        1.11711     -0.0047137    0.000135063
0.957   1.044       5     0   200        1.12541    -0.00488093    0.000132088
1.044   1.131       5     0   200        1.12141    -0.00414375    0.000109573
1.131   1.218       5     0   200        1.10666    -0.00348064    8.99959e-05
1.218   1.305       5     0   200         1.0862    -0.00369386     9.8414e-05
1.305   1.392       5     0   200         1.0595    -0.00341625    9.70688e-05
1.392   1.479       5     0   200        1.03557    -0.00373455     0.00011628
1.479   1.566       5     0   200        1.01325    -0.00424115    0.000144576
1.566   1.653       5     0   200       0.999525     -0.0057067    0.000201419
1.653    1.74       5     0   200       0.981178    -0.00717948    0.000261014
1.74    1.83       5     0   200        0.95638    -0.00886558    0.000323042
1.83    1.93       5     0   200        0.95082     -0.0109546    0.000384947
1.93   2.043       5     0   200       0.935941     -0.0106997     0.00037557
2.043   2.172       5     0   200       0.893265    -0.00699979    0.000247008
2.172   2.322       5     0   200       0.800599     0.00270518   -6.97547e-05
2.322     2.5       5     0   200       0.695901     0.00942317   -0.000341768
2.5    2.65       5     0   200       0.670151      0.0117823   -0.000444397
2.65   2.853       5     0   200       0.754008      0.0126013   -0.000442665
2.853   2.964       5     0   200       0.882741      0.0104374    -0.00033992
2.964   3.139       5     0   200        1.03753     0.00649108   -0.000191877
3.139   3.314       5     0   200        1.22759    0.000892588   -2.05038e-05
3.314   3.489       5     0   200        1.21358    -0.00272183    5.79822e-05
3.489   3.664       5     0   200        1.12944    -0.00256296    5.78645e-05
3.664   3.839       5     0   200        1.05053    -0.00208343    4.73332e-05
