{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.865825    0.000345003    1.72602e-06
-4.889  -4.716       5     0   200       0.872679   -0.000129279    1.17283e-05
-4.716  -4.538       5     0   200       0.884231     9.1873e-05    4.02957e-06
-4.538  -4.363       5     0   200       0.899297    0.000309319   -3.53817e-06
-4.363  -4.191       5     0   200       0.926849    0.000423149   -9.09768e-06
-4.191  -4.013       5     0   200       0.966878    0.000579721   -1.57714e-05
-4.013  -3.839       5     0   200        1.00819    0.000801835   -2.44629e-05
-3.839  -3.664       5     0   200        1.05988     0.00113144   -3.67795e-05
-3.664  -3.489       5     0   200        1.07997     0.00247265   -6.96487e-05
-3.489  -3.314       5     0   200         1.0499     0.00458016   -0.000130807
-3.314  -3.139       5     0   200        1.01264     0.00721068   -0.000211008
-3.139  -2.964       5     0   200       0.961156      0.0101197   -0.000300133
-2.964  -2.853       5     0   200       0.913731      0.0122533   -0.000367065
-2.853   -2.65       5     0   200       0.856901      0.0138643   -0.000421795
-2.65    -2.5       5     0   200       0.794854      0.0149789    -0.00046239
-2.5  -2.322       5     0   200       0.750334      0.0156006   -0.000484624
-2.322  -2.172       5     0   200       0.726919      0.0151482   -0.000471485
-2.172  -2.043       5     0   200        0.73749      0.0144104    -0.00044592
-2.043   -1.93       5     0   200       0.771272      0.0134473   -0.000409407
-1.93   -1.83       5     0   200        0.80431      0.0123585   -0.000370467
-1.83   -1.74       5     0   200       0.827914      0.0112552   -0.000334686
-1.74  -1.653       5     0   200       0.849403      0.0101718   -0.000301338
-1.653  -1.566       5     0   200       0.870877      0.0090812    -0.00026945
-1.566  -1.479       5     0   200       0.890014     0.00820787   -0.000243739
-1.479  -1.392       5     0   200       0.906159     0.00763443   -0.000226956
-1.392  -1.305       5     0   200       0.920898      0.0071696    -0.00021398
-1.305  -1.218       5     0   200       0.935692     0.00665361   -0.000200439
-1.218  -1.131       5     0   200       0.950286     0.00613539   -0.000187857
-1.131  -1.044       5     0   200       0.964917      0.0055823   -0.000175186
-1.044  -0.957       5     0   200       0.979889     0.00497684   -0.000161382
-0.957  -0.879       5     0   200       0.993636     0.00445689   -0.000149751
-0.879  -0.783       5     0   200        1.00642     0.00409934   -0.000142925
-0.783  -0.696       5     0   200        1.01721     0.00381815   -0.000138319
-0.696  -0.609       5     0   200        1.02584     0.00341301   -0.000130225
-0.609  -0.522       5     0   200        1.02939     0.00325133   -0.000127232
-0.522  -0.435       5     0   200        1.02896     0.00342912   -0.000132286
-0.435  -0.348       5     0   200         1.0264     0.00375727   -0.000141382
-0.348  -0.261       5     0   200         1.0245     0.00386785   -0.000144279
-0.261  -0.174       5     0   200        1.02414     0.00381698   -0.000143227
-0.174  -0.087       5     0   200        1.02245     0.00390502   -0.000145766
-0.087       0       5     0   200        1.02027     0.00400541   -0.000148367
0   0.087       5     0   200        1.01804     0.00408081   -0.000150444
0.087   0.174       5     0   200        1.01459     0.00424424   -0.000154497
0.174   0.261       5     0   200        1.00981     0.00452296   -0.000161106
0.261   0.348       5     0   200        1.00473     0.00484432   -0.000168516
0.348   0.435       5     0   200       0.999534     0.00513346   -0.000174881
0.435   0.522       5     0   200       0.992332     0.00549683   -0.000182763
0.522   0.609       5     0   200       0.986689     0.00571445   -0.000187154
0.609   0.696       5     0   200       0.982528     0.00585992   -0.000189638
0.696   0.783       5     0   200       0.976642     0.00599792   -0.000190667
0.783   0.879       5     0   200       0.967833     0.00624425   -0.000194776
0.879   0.957       5     0   200       0.959423     0.00639059   -0.000196611
0.957   1.044       5     0   200       0.953007     0.00639267     -0.0001954
1.044   1.131       5     0   200       0.948279     0.00618563   -0.000189236
1.131   1.218       5     0   200       0.943639     0.00590876   -0.000181272
1.218   1.305       5     0   200       0.937576     0.00570018   -0.000175089
1.305   1.392       5     0   200       0.928933     0.00576531   -0.000177264
1.392   1.479       5     0   200        0.92001     0.00586141   -0.000181375
1.479   1.566       5     0   200       0.910642     0.00599063   -0.000187165
1.566   1.653       5     0   200       0.900851     0.00608867   -0.000192378
1.653    1.74       5     0   200       0.890309     0.00621589   -0.000198619
1.74    1.83       5     0   200       0.875632     0.00674905    -0.00021665
1.83    1.93       5     0   200       0.855522     0.00765373   -0.000246197
1.93   2.043       5     0   200       0.828245     0.00830191   -0.000273825
2.043   2.172       5     0   200       0.796226     0.00911994   -0.000307448
2.172   2.322       5     0   200       0.784218     0.00978088   -0.000331246
2.322     2.5       5     0   200       0.803303      0.0101069   -0.000341504
2.5    2.65       5     0   200       0.836858       0.010039   -0.000334103
2.65   2.853       5     0   200       0.884745     0.00955553   -0.000310254
2.853   2.964       5     0   200       0.935364     0.00791883   -0.000255259
2.964   3.139       5     0   200       0.975307     0.00609376   -0.000196683
3.139   3.314       5     0   200        1.01459     0.00401076   -0.000131794
3.314   3.489       5     0   200        1.05192     0.00141806   -5.36534e-05
3.489   3.664       5     0   200        1.08241   -0.000732852    1.17613e-05
3.664   3.839       5     0   200        1.06716    -0.00212777    4.58904e-05
3.839   4.013       5     0   200        1.02118    -0.00238496    5.36962e-05
4.013   4.191       5     0   200       0.983512    -0.00251379    5.82274e-05
4.191   4.363       5     0   200         0.9469    -0.00231774    5.39239e-05
4.363   4.538       5     0   200         0.9202    -0.00198891    4.64349e-05
4.538   4.716       5     0   200       0.908334    -0.00210108    4.96936e-05
4.716   4.889       5     0   200       0.901071    -0.00232645    5.63034e-05
4.889   5.191       5     0   200        0.89403    -0.00189313    4.48492e-05
