{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.1542 1.0019 1.3066
-3.139 -2.964  3 1.2696 1.1607 1.3785
-2.964 -2.853 3 2.2923 1.9180 2.6665
-2.853 -2.500 3 1.9909 1.4225 2.5593
-2.500 -2.322 3 1.4085 1.2066 1.6105
-2.322 -2.043 3 1.2604 1.1103 1.4105
-2.043 -1.930 3 1.2393 1.0484 1.4301
-1.930 -1.740 3 1.1600 1.0623 1.2576
-1.740 -1.305 3 1.1307 0.9837 1.2778
-1.305 -1.131 3 1.1137 0.9740 1.2533
-1.131 -0.783 3 1.0989 1.0533 1.1444
-0.783 -0.522 3 1.1815 1.1332 1.2299
-0.522 0.000 3 1.1432 1.1210 1.1654
0.000 0.522 3 1.1432 1.1210 1.1654
0.522 0.783 3 1.1815 1.1332 1.2299
0.783 1.131 3 1.0989 1.0533 1.1444
1.131 1.305 3 1.1137 0.9740 1.2533
1.305 1.740 3 1.1307 0.9837 1.2778
1.740 1.930 3 1.1600 1.0623 1.2576
1.930 2.043 3 1.2393 1.0484 1.4301
2.043 2.322 3 1.2604 1.1103 1.4105
2.322 2.500 3 1.4085 1.2066 1.6105
2.500 2.853 3 1.9909 1.4225 2.5593
2.853 2.964 3 2.2923 1.9180 2.6665
2.964 3.139 3 1.2696 1.1607 1.3785
3.139 5.191 3 1.1542 1.0019 1.3066
