{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.10448     -0.0116134    1.15211e-05
-4.889  -4.716       5     0   200        1.07912      -0.011979    8.29466e-05
-4.716  -4.538       5     0   200        1.06734     -0.0123313    0.000137833
-4.538  -4.363       5     0   200        1.06339     -0.0126287    0.000169583
-4.363  -4.191       5     0   200        1.07647     -0.0127623     0.00016503
-4.191  -4.013       5     0   200        1.09083     -0.0125408    0.000134941
-4.013  -3.839       5     0   200        1.09652     -0.0122127    0.000118733
-3.839  -3.664       5     0   200         1.1066     -0.0120208    0.000131793
-3.664  -3.489       5     0   200        1.10555     -0.0118436    0.000169033
-3.489  -3.314       5     0   200         1.0928     -0.0116671     0.00022014
-3.314  -3.139       5     0   200          1.095      -0.011666    0.000255377
-3.139  -2.964       5     0   200        1.10643         -0.013    0.000274685
-2.964  -2.853       5     0   200        1.12442      -0.013982    0.000294557
-2.853   -2.65       5     0   200        1.17463     -0.0151664    0.000272129
-2.65    -2.5       5     0   200         1.2163     -0.0156437    0.000180994
-2.5  -2.322       5     0   200        1.21501     -0.0147129      0.0001319
-2.322  -2.172       5     0   200        1.19277     -0.0140671    0.000167193
-2.172  -2.043       5     0   200        1.15952     -0.0147432    0.000257283
-2.043   -1.93       5     0   200        1.13022     -0.0147297    0.000319736
-1.93   -1.83       5     0   200        1.10987     -0.0151923     0.00040743
-1.83   -1.74       5     0   200        1.09696     -0.0157037    0.000467827
-1.74  -1.653       5     0   200        1.09107     -0.0161682    0.000519983
-1.653  -1.566       5     0   200        1.08362     -0.0163226    0.000566865
-1.566  -1.479       5     0   200        1.07802     -0.0161359     0.00059447
-1.479  -1.392       5     0   200        1.07827     -0.0158532    0.000591541
-1.392  -1.305       5     0   200        1.08269     -0.0155336    0.000561082
-1.305  -1.218       5     0   200          1.088     -0.0153884     0.00055025
-1.218  -1.131       5     0   200         1.0939      -0.015182    0.000521986
-1.131  -1.044       5     0   200        1.09912     -0.0147637    0.000461916
-1.044  -0.957       5     0   200        1.10383     -0.0144112    0.000403322
-0.957  -0.879       5     0   200        1.11103     -0.0141466    0.000307816
-0.879  -0.783       5     0   200        1.11718     -0.0141644    0.000277841
-0.783  -0.696       5     0   200        1.12155      -0.014246    0.000258558
-0.696  -0.609       5     0   200         1.1207     -0.0141154    0.000270129
-0.609  -0.522       5     0   200        1.11759     -0.0137675    0.000289747
-0.522  -0.435       5     0   200        1.11657     -0.0135394    0.000301733
-0.435  -0.348       5     0   200        1.11807     -0.0135427     0.00031498
-0.348  -0.261       5     0   200        1.12111     -0.0137238    0.000328401
-0.261  -0.174       5     0   200        1.12195     -0.0139469    0.000362098
-0.174  -0.087       5     0   200         1.1234     -0.0142092    0.000390015
-0.087       0       5     0   200        1.12733     -0.0141942    0.000363463
0   0.087       5     0   200        1.12673     -0.0143197     0.00039014
0.087   0.174       5     0   200        1.12712     -0.0144129    0.000397549
0.174   0.261       5     0   200        1.12521     -0.0144099    0.000416741
0.261   0.348       5     0   200        1.12183     -0.0141048    0.000412345
0.348   0.435       5     0   200        1.11833     -0.0136576    0.000387864
0.435   0.522       5     0   200        1.11667     -0.0132913     0.00034843
0.522   0.609       5     0   200        1.11375     -0.0128393    0.000304394
0.609   0.696       5     0   200        1.10826     -0.0125334    0.000295252
0.696   0.783       5     0   200        1.10308     -0.0122535    0.000285402
0.783   0.879       5     0   200        1.09752     -0.0117011     0.00024708
0.879   0.957       5     0   200        1.09015     -0.0112384    0.000228466
0.957   1.044       5     0   200         1.0879      -0.011379    0.000245129
1.044   1.131       5     0   200        1.08498     -0.0118453    0.000280084
1.131   1.218       5     0   200        1.08335     -0.0124449    0.000314934
1.218   1.305       5     0   200         1.0829     -0.0131332    0.000343607
1.305   1.392       5     0   200        1.08991     -0.0138273     0.00029864
1.392   1.479       5     0   200        1.09582     -0.0142834    0.000245551
1.479   1.566       5     0   200        1.10118     -0.0146405     0.00021321
1.566   1.653       5     0   200        1.10746     -0.0148975    0.000189708
1.653    1.74       5     0   200        1.11388     -0.0149033    0.000155319
1.74    1.83       5     0   200        1.11706     -0.0146781    0.000126009
1.83    1.93       5     0   200        1.12308     -0.0143351    0.000100899
1.93   2.043       5     0   200        1.12809      -0.014096    7.77383e-05
2.043   2.172       5     0   200        1.12875     -0.0142052    0.000101255
2.172   2.322       5     0   200        1.12851     -0.0138767    0.000118777
2.322     2.5       5     0   200        1.14756     -0.0152456    0.000173547
2.5    2.65       5     0   200        1.16384     -0.0162303    0.000245672
2.65   2.853       5     0   200        1.14557      -0.016767    0.000417943
2.853   2.964       5     0   200        1.11866     -0.0159304    0.000452525
2.964   3.139       5     0   200        1.10012     -0.0143882    0.000398789
3.139   3.314       5     0   200        1.07213     -0.0116213    0.000313878
3.314   3.489       5     0   200        1.07232     -0.0111859    0.000248605
3.489   3.664       5     0   200        1.07965     -0.0115695    0.000245998
3.664   3.839       5     0   200        1.07822     -0.0121898    0.000280508
3.839   4.013       5     0   200        1.07312     -0.0127798    0.000308179
4.013   4.191       5     0   200         1.0766     -0.0132814     0.00030901
4.191   4.363       5     0   200        1.07491     -0.0136183    0.000283315
4.363   4.538       5     0   200        1.06539     -0.0137394    0.000262667
4.538   4.716       5     0   200        1.05987     -0.0138135    0.000264353
4.716   4.889       5     0   200        1.05183      -0.013746    0.000269837
4.889   5.191       5     0   200        1.05689     -0.0137865    0.000266574
