{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.10448     -0.0116134    1.15211e-05
-4.889  -4.716       5     0   200        1.07912      -0.011979    8.29466e-05
-4.716  -4.538       5     0   200        1.06734     -0.0123313    0.000137833
-4.538  -4.363       5     0   200        1.06339     -0.0126287    0.000169583
-4.363  -4.191       5     0   200        1.07647     -0.0127623     0.00016503
-4.191  -4.013       5     0   200        1.09083     -0.0125408    0.000134941
-4.013  -3.839       5     0   200        1.09652     -0.0122127    0.000118733
-3.839  -3.664       5     0   200         1.1066     -0.0120208    0.000131793
-3.664  -3.489       5     0   200        1.10555     -0.0118436    0.000169033
-3.489  -3.314       5     0   200         1.0928     -0.0116671     0.00022014
-3.314  -3.139       5     0   200          1.095      -0.011666    0.000255377
-3.139  -2.964       5     0   200        1.10643         -0.013    0.000274685
-2.964  -2.853       5     0   200        1.12347     -0.0139302    0.000295888
-2.853   -2.65       5     0   200          1.161     -0.0146639    0.000336606
-2.65    -2.5       5     0   200        1.19126     -0.0146015    0.000369922
-2.5  -2.322       5     0   200         1.1925      -0.011863    0.000354609
-2.322  -2.172       5     0   200        1.17975    -0.00989963    0.000500918
-2.172  -2.043       5     0   200        1.15261     -0.0107966    0.000537023
-2.043   -1.93       5     0   200         1.1332     -0.0105453     0.00041585
-1.93   -1.83       5     0   200         1.1181     -0.0124547    0.000483078
-1.83   -1.74       5     0   200        1.10482     -0.0143042    0.000565748
-1.74  -1.653       5     0   200        1.09564     -0.0153878    0.000647952
-1.653  -1.566       5     0   200         1.0822      -0.015442    0.000666315
-1.566  -1.479       5     0   200        1.06886     -0.0149874    0.000690798
-1.479  -1.392       5     0   200        1.06214     -0.0141694    0.000692537
-1.392  -1.305       5     0   200        1.06015     -0.0132869    0.000696395
-1.305  -1.218       5     0   200        1.06057     -0.0127594    0.000756153
-1.218  -1.131       5     0   200        1.06612     -0.0114889    0.000705042
-1.131  -1.044       5     0   200        1.07124    -0.00997576    0.000610156
-1.044  -0.957       5     0   200        1.07818    -0.00920735     0.00055755
-0.957  -0.879       5     0   200        1.08825    -0.00874264    0.000461417
-0.879  -0.783       5     0   200        1.10291    -0.00875343     0.00043879
-0.783  -0.696       5     0   200        1.11493    -0.00876643    0.000400622
-0.696  -0.609       5     0   200        1.11819    -0.00855519    0.000416733
-0.609  -0.522       5     0   200         1.1193    -0.00823096     0.00046025
-0.522  -0.435       5     0   200         1.1236    -0.00788724    0.000474423
-0.435  -0.348       5     0   200        1.13089    -0.00793452    0.000509835
-0.348  -0.261       5     0   200        1.14101    -0.00793676    0.000496145
-0.261  -0.174       5     0   200        1.14688    -0.00785857    0.000481863
-0.174  -0.087       5     0   200        1.15157    -0.00831768    0.000497932
-0.087       0       5     0   200         1.1584    -0.00920358    0.000501338
0   0.087       5     0   200        1.16117     -0.0104828     0.00054866
0.087   0.174       5     0   200        1.16231     -0.0115091     0.00055344
0.174   0.261       5     0   200        1.15634      -0.012151     0.00057965
0.261   0.348       5     0   200        1.14575     -0.0122024    0.000580748
0.348   0.435       5     0   200        1.13344     -0.0117265    0.000542997
0.435   0.522       5     0   200        1.12336     -0.0112962    0.000504065
0.522   0.609       5     0   200         1.1126      -0.010588    0.000457253
0.609   0.696       5     0   200        1.09917    -0.00982186    0.000444385
0.696   0.783       5     0   200        1.08916    -0.00891511     0.00040841
0.783   0.879       5     0   200        1.07896    -0.00802648    0.000371029
0.879   0.957       5     0   200        1.06405     -0.0070991     0.00035409
0.957   1.044       5     0   200        1.06267    -0.00706581     0.00036632
1.044   1.131       5     0   200        1.06158     -0.0075592    0.000398993
1.131   1.218       5     0   200         1.0629      -0.008161    0.000400152
1.218   1.305       5     0   200        1.06411    -0.00912531    0.000406147
1.305   1.392       5     0   200        1.07245     -0.0099494    0.000319395
1.392   1.479       5     0   200        1.07871     -0.0105764    0.000249478
1.479   1.566       5     0   200         1.0839     -0.0111842    0.000235762
1.566   1.653       5     0   200        1.09541      -0.011558    0.000204882
1.653    1.74       5     0   200        1.10865     -0.0115108    0.000157475
1.74    1.83       5     0   200        1.11322     -0.0108685    0.000129515
1.83    1.93       5     0   200        1.12599    -0.00981184    0.000139934
1.93   2.043       5     0   200        1.14498    -0.00881717    0.000183863
2.043   2.172       5     0   200        1.17472    -0.00957072    0.000352861
2.172   2.322       5     0   200        1.19534    -0.00961563    0.000428695
2.322     2.5       5     0   200        1.22277     -0.0128985    0.000381887
2.5    2.65       5     0   200        1.22248     -0.0157543     0.00037175
2.65   2.853       5     0   200        1.17213     -0.0169001    0.000457406
2.853   2.964       5     0   200        1.12428     -0.0159817    0.000449358
2.964   3.139       5     0   200        1.10013     -0.0143881    0.000398789
3.139   3.314       5     0   200        1.07213     -0.0116213    0.000313878
3.314   3.489       5     0   200        1.07232     -0.0111859    0.000248605
3.489   3.664       5     0   200        1.07965     -0.0115695    0.000245998
3.664   3.839       5     0   200        1.07822     -0.0121898    0.000280508
3.839   4.013       5     0   200        1.07312     -0.0127798    0.000308179
4.013   4.191       5     0   200         1.0766     -0.0132814     0.00030901
4.191   4.363       5     0   200        1.07491     -0.0136183    0.000283315
4.363   4.538       5     0   200        1.06539     -0.0137394    0.000262667
4.538   4.716       5     0   200        1.05987     -0.0138135    0.000264353
4.716   4.889       5     0   200        1.05183      -0.013746    0.000269837
4.889   5.191       5     0   200        1.05689     -0.0137865    0.000266574
