{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.948946      0.0117553   -0.000632024
-4.889  -4.716       5     0   200       0.931378      0.0112439   -0.000621359
-4.716  -4.538       5     0   200       0.924406      0.0110924   -0.000619825
-4.538  -4.363       5     0   200       0.923267      0.0111858    -0.00062385
-4.363  -4.191       5     0   200       0.935866      0.0116519   -0.000641386
-4.191  -4.013       5     0   200       0.948768      0.0124794   -0.000671437
-4.013  -3.839       5     0   200       0.955936      0.0132338   -0.000699234
-3.839  -3.664       5     0   200       0.968469      0.0142038   -0.000736937
-3.664  -3.489       5     0   200       0.972019      0.0151382   -0.000772695
-3.489  -3.314       5     0   200        0.96627       0.015772   -0.000796765
-3.314  -3.139       5     0   200       0.980856      0.0162684   -0.000849863
-3.139  -2.964       5     0   200         1.0179      0.0142095    -0.00088655
-2.964  -2.853       5     0   200        1.05121      0.0134562    -0.00093961
-2.853   -2.65       5     0   200        1.10144      0.0140897    -0.00102713
-2.65    -2.5       5     0   200        1.13576      0.0154017    -0.00106591
-2.5  -2.322       5     0   200        1.11323      0.0185375   -0.000959148
-2.322  -2.172       5     0   200        1.07506      0.0203201   -0.000679071
-2.172  -2.043       5     0   200        1.06256      0.0145859   -0.000428791
-2.043   -1.93       5     0   200        1.04523      0.0113906   -0.000345962
-1.93   -1.83       5     0   200        1.03561     0.00822087   -0.000289695
-1.83   -1.74       5     0   200        1.02946     0.00549788   -0.000236337
-1.74  -1.653       5     0   200        1.02543     0.00423468   -0.000204462
-1.653  -1.566       5     0   200        1.01443     0.00371658   -0.000175537
-1.566  -1.479       5     0   200        1.00298     0.00396299   -0.000155603
-1.479  -1.392       5     0   200       0.994885     0.00480829   -0.000138087
-1.392  -1.305       5     0   200       0.988437     0.00624392   -0.000125189
-1.305  -1.218       5     0   200       0.984696     0.00805466   -0.000121991
-1.218  -1.131       5     0   200       0.982457     0.00999266   -0.000130969
-1.131  -1.044       5     0   200       0.979769      0.0117768   -0.000152375
-1.044  -0.957       5     0   200       0.981666      0.0127117   -0.000155857
-0.957  -0.879       5     0   200        0.98763      0.0125805   -0.000136585
-0.879  -0.783       5     0   200        1.00211      0.0124117   -0.000121401
-0.783  -0.696       5     0   200        1.01192      0.0123284   -0.000111664
-0.696  -0.609       5     0   200        1.01772      0.0126008   -0.000116266
-0.609  -0.522       5     0   200         1.0233      0.0131275   -0.000129849
-0.522  -0.435       5     0   200        1.02629      0.0140968   -0.000153072
-0.435  -0.348       5     0   200         1.0303      0.0151705   -0.000181095
-0.348  -0.261       5     0   200        1.03516       0.016009   -0.000210258
-0.261  -0.174       5     0   200         1.0398      0.0163813   -0.000234713
-0.174  -0.087       5     0   200        1.04265      0.0164892    -0.00025786
-0.087       0       5     0   200        1.04653      0.0159386   -0.000258082
0   0.087       5     0   200        1.05154       0.014589   -0.000228271
0.087   0.174       5     0   200        1.05437      0.0129543   -0.000186127
0.174   0.261       5     0   200        1.05461      0.0113923    -0.00014011
0.261   0.348       5     0   200        1.04791      0.0106602   -0.000120827
0.348   0.435       5     0   200        1.03725      0.0104021   -0.000115266
0.435   0.522       5     0   200        1.02673      0.0104112   -0.000117115
0.522   0.609       5     0   200        1.01661      0.0106355   -0.000128223
0.609   0.696       5     0   200        1.00862      0.0107469   -0.000131616
0.696   0.783       5     0   200       0.999978      0.0111766   -0.000140816
0.783   0.879       5     0   200       0.989563      0.0115899   -0.000142208
0.879   0.957       5     0   200       0.978894      0.0116623    -0.00013146
0.957   1.044       5     0   200       0.977395      0.0117169    -0.00013282
1.044   1.131       5     0   200       0.977763      0.0112428   -0.000136332
1.131   1.218       5     0   200       0.978126      0.0106055   -0.000148577
1.218   1.305       5     0   200       0.976188     0.00992697   -0.000172999
1.305   1.392       5     0   200       0.974668     0.00907389   -0.000194853
1.392   1.479       5     0   200       0.973773     0.00836861    -0.00022276
1.479   1.566       5     0   200       0.976802     0.00785742   -0.000255085
1.566   1.653       5     0   200       0.981638     0.00812678   -0.000305918
1.653    1.74       5     0   200        0.98621     0.00896052   -0.000361408
1.74    1.83       5     0   200       0.988417     0.00999807   -0.000402862
1.83    1.93       5     0   200       0.997745      0.0126345   -0.000473041
1.93   2.043       5     0   200        1.01445      0.0162454   -0.000575283
2.043   2.172       5     0   200        1.04932      0.0195312    -0.00071008
2.172   2.322       5     0   200        1.06848      0.0245188    -0.00095289
2.322     2.5       5     0   200        1.14422      0.0189404    -0.00108931
2.5    2.65       5     0   200        1.19203      0.0118533    -0.00106539
2.65   2.853       5     0   200        1.14816     0.00859956   -0.000929627
2.853   2.964       5     0   200        1.08362     0.00876473   -0.000838178
2.964   3.139       5     0   200        1.04013      0.0102881    -0.00079697
3.139   3.314       5     0   200       0.981685      0.0139186   -0.000792502
3.314   3.489       5     0   200       0.962672      0.0143033   -0.000756283
3.489   3.664       5     0   200       0.964376      0.0138454   -0.000739489
3.664   3.839       5     0   200       0.960719      0.0129785   -0.000708509
3.839   4.013       5     0   200       0.953749       0.011984   -0.000671496
4.013   4.191       5     0   200        0.95438      0.0109639   -0.000635779
4.191   4.363       5     0   200       0.950081     0.00984028   -0.000597719
4.363   4.538       5     0   200       0.939171     0.00896018   -0.000566358
4.538   4.716       5     0   200       0.933268     0.00846067   -0.000548901
4.716   4.889       5     0   200       0.925922      0.0082599   -0.000541589
4.889   5.191       5     0   200       0.927108     0.00841663   -0.000540679
