{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.933001      0.0113371   -0.000624062
-4.889  -4.716       5     0   200       0.931859      0.0113801   -0.000627215
-4.716  -4.538       5     0   200       0.937072        0.01163   -0.000637808
-4.538  -4.363       5     0   200       0.941082      0.0120277   -0.000653208
-4.363  -4.191       5     0   200       0.943226      0.0123683   -0.000666882
-4.191  -4.013       5     0   200       0.950945      0.0129768   -0.000691072
-4.013  -3.839       5     0   200       0.955031      0.0135895   -0.000714123
-3.839  -3.664       5     0   200       0.958519        0.01424   -0.000738621
-3.664  -3.489       5     0   200       0.971486      0.0145751   -0.000774248
-3.489  -3.314       5     0   200       0.991854      0.0141841   -0.000803674
-3.314  -3.139       5     0   200        1.01024      0.0141591   -0.000834321
-3.139  -2.964       5     0   200        1.03442      0.0131815   -0.000840569
-2.964  -2.853       5     0   200        1.05396      0.0123792   -0.000851191
-2.853   -2.65       5     0   200        1.06949      0.0119253   -0.000871631
-2.65    -2.5       5     0   200         1.0773      0.0112578   -0.000883777
-2.5  -2.322       5     0   200        1.08249      0.0107825   -0.000896737
-2.322  -2.172       5     0   200        1.07957     0.00996482   -0.000880763
-2.172  -2.043       5     0   200        1.06888     0.00894294   -0.000829832
-2.043   -1.93       5     0   200        1.05273     0.00886367   -0.000787462
-1.93   -1.83       5     0   200        1.03892     0.00894544   -0.000755943
-1.83   -1.74       5     0   200        1.02952      0.0088049   -0.000733967
-1.74  -1.653       5     0   200        1.02089     0.00893579   -0.000722895
-1.653  -1.566       5     0   200        1.01206     0.00933244    -0.00071898
-1.566  -1.479       5     0   200        1.00536     0.00958697   -0.000711377
-1.479  -1.392       5     0   200        1.00114      0.0096839   -0.000699418
-1.392  -1.305       5     0   200       0.998976     0.00967827    -0.00068755
-1.305  -1.218       5     0   200       0.998564     0.00961294   -0.000676139
-1.218  -1.131       5     0   200        0.99935     0.00956466   -0.000666258
-1.131  -1.044       5     0   200        1.00113     0.00955943   -0.000657388
-1.044  -0.957       5     0   200        1.00371      0.0095751   -0.000649289
-0.957  -0.879       5     0   200        1.00639      0.0096422   -0.000644302
-0.879  -0.783       5     0   200        1.00917     0.00976359   -0.000642245
-0.783  -0.696       5     0   200        1.01151     0.00993833   -0.000643101
-0.696  -0.609       5     0   200        1.01329      0.0101126   -0.000644844
-0.609  -0.522       5     0   200        1.01436      0.0102782   -0.000647863
-0.522  -0.435       5     0   200        1.01596      0.0104298   -0.000653122
-0.435  -0.348       5     0   200         1.0181      0.0105295   -0.000656794
-0.348  -0.261       5     0   200        1.01941      0.0105982   -0.000657029
-0.261  -0.174       5     0   200        1.01999      0.0106763   -0.000655695
-0.174  -0.087       5     0   200        1.01967      0.0108243   -0.000655953
-0.087       0       5     0   200        1.01851      0.0110447   -0.000658685
0   0.087       5     0   200        1.01715      0.0112631   -0.000661214
0.087   0.174       5     0   200        1.01541      0.0114753   -0.000663393
0.174   0.261       5     0   200          1.013      0.0116957   -0.000665666
0.261   0.348       5     0   200        1.01024      0.0118802   -0.000665744
0.348   0.435       5     0   200        1.00708      0.0119995   -0.000662298
0.435   0.522       5     0   200        1.00334      0.0120435   -0.000654427
0.522   0.609       5     0   200        1.00003      0.0120245   -0.000644239
0.609   0.696       5     0   200        0.99725      0.0119577   -0.000636626
0.696   0.783       5     0   200       0.994402      0.0118164    -0.00063182
0.783   0.879       5     0   200       0.991564      0.0116844   -0.000631552
0.879   0.957       5     0   200       0.988786      0.0115666   -0.000635166
0.957   1.044       5     0   200       0.986673      0.0113744   -0.000638847
1.044   1.131       5     0   200       0.984887      0.0111792   -0.000645466
1.131   1.218       5     0   200       0.983376      0.0110878   -0.000656553
1.218   1.305       5     0   200       0.982183      0.0110929   -0.000670818
1.305   1.392       5     0   200       0.982439      0.0110213   -0.000684774
1.392   1.479       5     0   200       0.984737      0.0108105    -0.00069651
1.479   1.566       5     0   200       0.989051      0.0104517    -0.00070577
1.566   1.653       5     0   200       0.994582     0.00987547   -0.000707593
1.653    1.74       5     0   200        1.00126     0.00911943   -0.000703939
1.74    1.83       5     0   200        1.00643     0.00876522   -0.000711932
1.83    1.93       5     0   200        1.01157     0.00877176   -0.000734104
1.93   2.043       5     0   200        1.02602     0.00835509    -0.00076171
2.043   2.172       5     0   200        1.04628     0.00781744   -0.000795957
2.172   2.322       5     0   200        1.06231     0.00781318   -0.000827821
2.322     2.5       5     0   200        1.06805      0.0078806   -0.000824094
2.5    2.65       5     0   200        1.06602     0.00811907   -0.000801384
2.65   2.853       5     0   200        1.06121     0.00859657   -0.000777803
2.853   2.964       5     0   200        1.04901     0.00916107   -0.000759157
2.964   3.139       5     0   200        1.03238      0.0102153   -0.000758536
3.139   3.314       5     0   200        1.01259      0.0115496   -0.000768654
3.314   3.489       5     0   200       0.997297      0.0118435   -0.000748715
3.489   3.664       5     0   200       0.971581      0.0127188   -0.000730078
3.664   3.839       5     0   200       0.958457      0.0127227   -0.000699817
3.839   4.013       5     0   200       0.956596      0.0120849   -0.000676824
4.013   4.191       5     0   200       0.953195      0.0113365   -0.000650317
4.191   4.363       5     0   200       0.946918      0.0106445   -0.000625005
4.363   4.538       5     0   200        0.94561      0.0101479   -0.000607317
4.538   4.716       5     0   200       0.943531     0.00951197   -0.000585526
4.716   4.889       5     0   200       0.938716      0.0089726   -0.000566167
4.889   5.191       5     0   200       0.932432     0.00843487   -0.000547686
