{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.13898     -0.0242149    0.000729498
-4.889  -4.716       5     0   200        1.13825      -0.023972    0.000717815
-4.716  -4.538       5     0   200        1.14613     -0.0239111    0.000712926
-4.538  -4.363       5     0   200        1.15347     -0.0237658     0.00070555
-4.363  -4.191       5     0   200        1.15809     -0.0234954    0.000692977
-4.191  -4.013       5     0   200         1.1699     -0.0231613    0.000677432
-4.013  -3.839       5     0   200        1.17809     -0.0227839    0.000660979
-3.839  -3.664       5     0   200        1.18548     -0.0223448    0.000642174
-3.664  -3.489       5     0   200        1.19355      -0.021706    0.000594787
-3.489  -3.314       5     0   200         1.2063     -0.0219639     0.00055561
-3.314  -3.139       5     0   200        1.21857      -0.021943    0.000517004
-3.139  -2.964       5     0   200        1.23308     -0.0218864    0.000481164
-2.964  -2.853       5     0   200        1.24322     -0.0213651      0.0004408
-2.853   -2.65       5     0   200        1.24967     -0.0202968    0.000389619
-2.65    -2.5       5     0   200        1.24687     -0.0188867    0.000337936
-2.5  -2.322       5     0   200        1.24431     -0.0173793    0.000300685
-2.322  -2.172       5     0   200        1.23735     -0.0163538    0.000303239
-2.172  -2.043       5     0   200        1.23079     -0.0162711    0.000358206
-2.043   -1.93       5     0   200        1.22175     -0.0158286    0.000411426
-1.93   -1.83       5     0   200        1.21306     -0.0154427    0.000448357
-1.83   -1.74       5     0   200        1.20681      -0.015498    0.000472711
-1.74  -1.653       5     0   200        1.20127     -0.0155212     0.00048836
-1.653  -1.566       5     0   200        1.19555     -0.0154566     0.00049808
-1.566  -1.479       5     0   200        1.19154     -0.0154955    0.000508964
-1.479  -1.392       5     0   200        1.19012      -0.015731    0.000523791
-1.392  -1.305       5     0   200        1.19074     -0.0160934    0.000540589
-1.305  -1.218       5     0   200        1.19305     -0.0165264    0.000557716
-1.218  -1.131       5     0   200         1.1964     -0.0169245    0.000571828
-1.131  -1.044       5     0   200        1.20082     -0.0173007    0.000584409
-1.044  -0.957       5     0   200         1.2062     -0.0176865    0.000596121
-0.957  -0.879       5     0   200        1.21167      -0.018024    0.000605107
-0.879  -0.783       5     0   200        1.21755     -0.0183326    0.000612036
-0.783  -0.696       5     0   200        1.22357     -0.0186319    0.000617623
-0.696  -0.609       5     0   200        1.22849     -0.0188564    0.000620439
-0.609  -0.522       5     0   200        1.23152      -0.018951    0.000617966
-0.522  -0.435       5     0   200        1.23464     -0.0190006      0.0006134
-0.435  -0.348       5     0   200        1.23834     -0.0191182    0.000612178
-0.348  -0.261       5     0   200         1.2409     -0.0192336    0.000612434
-0.261  -0.174       5     0   200        1.24282     -0.0193576    0.000614247
-0.174  -0.087       5     0   200        1.24432     -0.0194881    0.000617545
-0.087       0       5     0   200        1.24461      -0.019523     0.00061828
0   0.087       5     0   200        1.24405     -0.0195015    0.000617727
0.087   0.174       5     0   200        1.24237      -0.019412    0.000615545
0.174   0.261       5     0   200        1.23968     -0.0192779    0.000612397
0.261   0.348       5     0   200         1.2364     -0.0191407    0.000609989
0.348   0.435       5     0   200        1.23228     -0.0190062    0.000609271
0.435   0.522       5     0   200        1.22683      -0.018828    0.000609165
0.522   0.609       5     0   200        1.22167     -0.0186641    0.000610625
0.609   0.696       5     0   200        1.21716     -0.0185414    0.000612509
0.696   0.783       5     0   200        1.21172     -0.0183771    0.000611962
0.783   0.879       5     0   200        1.20587     -0.0181132    0.000607729
0.879   0.957       5     0   200        1.20053      -0.017829    0.000601697
0.957   1.044       5     0   200        1.19582     -0.0175605    0.000594959
1.044   1.131       5     0   200         1.1914     -0.0172646    0.000585846
1.131   1.218       5     0   200        1.18758     -0.0169277    0.000574004
1.218   1.305       5     0   200        1.18396     -0.0165197    0.000559066
1.305   1.392       5     0   200        1.18143     -0.0161303    0.000542214
1.392   1.479       5     0   200        1.18048     -0.0158237    0.000525898
1.479   1.566       5     0   200        1.18069     -0.0155575    0.000509125
1.566   1.653       5     0   200        1.18084     -0.0153197    0.000490425
1.653    1.74       5     0   200        1.18112     -0.0151201    0.000470406
1.74    1.83       5     0   200        1.18062     -0.0148095     0.00044539
1.83    1.93       5     0   200         1.1808     -0.0144956    0.000413985
1.93   2.043       5     0   200        1.18989     -0.0150315    0.000382601
2.043   2.172       5     0   200        1.20358     -0.0159716     0.00034342
2.172   2.322       5     0   200        1.21431     -0.0166265    0.000298769
2.322     2.5       5     0   200        1.22283     -0.0180757    0.000304201
2.5    2.65       5     0   200        1.22804     -0.0198046    0.000347355
2.65   2.853       5     0   200        1.23352     -0.0214879    0.000408536
2.853   2.964       5     0   200        1.23111      -0.022696     0.00046433
2.964   3.139       5     0   200        1.22541     -0.0233656    0.000508896
3.139   3.314       5     0   200        1.21791     -0.0237123    0.000553353
3.314   3.489       5     0   200        1.21021     -0.0238401      0.0005945
3.489   3.664       5     0   200        1.19064     -0.0229932    0.000617974
3.664   3.839       5     0   200        1.18138      -0.023277    0.000659754
3.839   4.013       5     0   200        1.17582     -0.0237291    0.000678116
4.013   4.191       5     0   200        1.16821     -0.0241996    0.000696385
4.191   4.363       5     0   200        1.15754     -0.0245016    0.000708696
4.363   4.538       5     0   200        1.15353     -0.0248278    0.000721718
4.538   4.716       5     0   200         1.1482     -0.0251736    0.000734157
4.716   4.889       5     0   200        1.13991     -0.0253535    0.000741418
4.889   5.191       5     0   200        1.12891     -0.0254184    0.000744266
