{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.13898     -0.0242149    0.000729498
-4.889  -4.716       5     0   200        1.13825      -0.023972    0.000717815
-4.716  -4.538       5     0   200        1.14613     -0.0239111    0.000712926
-4.538  -4.363       5     0   200        1.15347     -0.0237658     0.00070555
-4.363  -4.191       5     0   200        1.15809     -0.0234954    0.000692977
-4.191  -4.013       5     0   200         1.1699     -0.0231613    0.000677432
-4.013  -3.839       5     0   200        1.17809     -0.0227839    0.000660979
-3.839  -3.664       5     0   200        1.18548     -0.0223448    0.000642174
-3.664  -3.489       5     0   200        1.19355      -0.021706    0.000594787
-3.489  -3.314       5     0   200        1.20628     -0.0219597    0.000555505
-3.314  -3.139       5     0   200         1.2175     -0.0218954    0.000516469
-3.139  -2.964       5     0   200        1.22807     -0.0218324    0.000483625
-2.964  -2.853       5     0   200        1.23716     -0.0215524    0.000451977
-2.853   -2.65       5     0   200        1.24764     -0.0209916    0.000413648
-2.65    -2.5       5     0   200        1.25432     -0.0202019    0.000369406
-2.5  -2.322       5     0   200        1.26407     -0.0187955    0.000318673
-2.322  -2.172       5     0   200        1.26904     -0.0175276    0.000308771
-2.172  -2.043       5     0   200        1.27123     -0.0174848     0.00038906
-2.043   -1.93       5     0   200        1.26369     -0.0166379    0.000480482
-1.93   -1.83       5     0   200        1.25479     -0.0159441    0.000554951
-1.83   -1.74       5     0   200        1.24821     -0.0161795    0.000601419
-1.74  -1.653       5     0   200        1.24268     -0.0163354    0.000627322
-1.653  -1.566       5     0   200        1.23815     -0.0163192    0.000638615
-1.566  -1.479       5     0   200        1.23549     -0.0164157    0.000649778
-1.479  -1.392       5     0   200        1.23572     -0.0167522    0.000664117
-1.392  -1.305       5     0   200        1.23738     -0.0172329    0.000680358
-1.305  -1.218       5     0   200        1.24028     -0.0177907    0.000696949
-1.218  -1.131       5     0   200        1.24387     -0.0182525    0.000709224
-1.131  -1.044       5     0   200        1.24926     -0.0187222    0.000723076
-1.044  -0.957       5     0   200        1.25694     -0.0192356    0.000738201
-0.957  -0.879       5     0   200        1.26606     -0.0197432    0.000752129
-0.879  -0.783       5     0   200         1.2771     -0.0202631    0.000765676
-0.783  -0.696       5     0   200        1.28951     -0.0208206    0.000779889
-0.696  -0.609       5     0   200        1.30015     -0.0212452    0.000789395
-0.609  -0.522       5     0   200        1.30812     -0.0215101    0.000792145
-0.522  -0.435       5     0   200        1.31667     -0.0217293    0.000791897
-0.435  -0.348       5     0   200        1.32562     -0.0220672    0.000796785
-0.348  -0.261       5     0   200        1.33177     -0.0224126    0.000804382
-0.261  -0.174       5     0   200        1.33625     -0.0227171    0.000812714
-0.174  -0.087       5     0   200        1.33892     -0.0229618    0.000821111
-0.087       0       5     0   200        1.33868     -0.0230208    0.000824045
0   0.087       5     0   200        1.33652     -0.0229675    0.000823602
0.087   0.174       5     0   200         1.3325     -0.0228066    0.000820205
0.174   0.261       5     0   200        1.32707     -0.0225692    0.000815312
0.261   0.348       5     0   200        1.32096     -0.0222882    0.000810093
0.348   0.435       5     0   200         1.3138     -0.0219955    0.000806177
0.435   0.522       5     0   200        1.30376     -0.0216463      0.0008027
0.522   0.609       5     0   200        1.29361     -0.0212832    0.000799757
0.609   0.696       5     0   200          1.285     -0.0209929    0.000797679
0.696   0.783       5     0   200        1.27453      -0.020633    0.000791822
0.783   0.879       5     0   200        1.26299     -0.0200924    0.000779567
0.879   0.957       5     0   200        1.25329     -0.0196154    0.000768377
0.957   1.044       5     0   200        1.24575     -0.0192461     0.00075981
1.044   1.131       5     0   200        1.23928     -0.0188499    0.000749129
1.131   1.218       5     0   200        1.23422     -0.0183738    0.000734702
1.218   1.305       5     0   200        1.23007     -0.0178105    0.000717743
1.305   1.392       5     0   200        1.22782     -0.0172734    0.000698852
1.392   1.479       5     0   200        1.22829     -0.0168562    0.000681123
1.479   1.566       5     0   200        1.23074     -0.0164916    0.000662664
1.566   1.653       5     0   200        1.23692     -0.0163108    0.000642997
1.653    1.74       5     0   200         1.2461     -0.0162912    0.000622483
1.74    1.83       5     0   200        1.25211     -0.0159332    0.000584995
1.83    1.93       5     0   200        1.25728     -0.0155048    0.000530421
1.93   2.043       5     0   200        1.27438     -0.0166776    0.000468369
2.043   2.172       5     0   200        1.29537     -0.0185754    0.000400226
2.172   2.322       5     0   200        1.30235     -0.0197261    0.000334734
2.322     2.5       5     0   200         1.3011     -0.0218652    0.000365304
2.5    2.65       5     0   200        1.28958     -0.0234171    0.000423771
2.65   2.853       5     0   200        1.27802     -0.0243091    0.000478494
2.853   2.964       5     0   200        1.26185     -0.0246652     0.00051679
2.964   3.139       5     0   200        1.24505     -0.0245437    0.000540808
3.139   3.314       5     0   200        1.22433     -0.0240461    0.000561805
3.314   3.489       5     0   200        1.21072     -0.0238633    0.000595017
3.489   3.664       5     0   200        1.19064     -0.0229932    0.000617974
3.664   3.839       5     0   200        1.18138      -0.023277    0.000659754
3.839   4.013       5     0   200        1.17582     -0.0237291    0.000678116
4.013   4.191       5     0   200        1.16821     -0.0241996    0.000696385
4.191   4.363       5     0   200        1.15754     -0.0245016    0.000708696
4.363   4.538       5     0   200        1.15353     -0.0248278    0.000721718
4.538   4.716       5     0   200         1.1482     -0.0251736    0.000734157
4.716   4.889       5     0   200        1.13991     -0.0253535    0.000741418
4.889   5.191       5     0   200        1.12891     -0.0254184    0.000744266
