{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.16009     -0.0249338    0.000763737
-4.889  -4.716       5     0   200        1.13723     -0.0243831    0.000735554
-4.716  -4.538       5     0   200        1.12755     -0.0238661    0.000712111
-4.538  -4.363       5     0   200        1.12701     -0.0235365    0.000697643
-4.363  -4.191       5     0   200        1.14491      -0.023561     0.00069592
-4.191  -4.013       5     0   200        1.16544     -0.0235256    0.000692642
-4.013  -3.839       5     0   200        1.17902      -0.023325    0.000682818
-3.839  -3.664       5     0   200        1.19788     -0.0228776    0.000662553
-3.664  -3.489       5     0   200        1.20595     -0.0221301    0.000631714
-3.489  -3.314       5     0   200        1.20238     -0.0212955    0.000597592
-3.314  -3.139       5     0   200        1.20414      -0.019742    0.000507569
-3.139  -2.964       5     0   200        1.21323     -0.0207396     0.00042417
-2.964  -2.853       5     0   200        1.22766     -0.0217985    0.000361573
-2.853   -2.65       5     0   200        1.27062     -0.0225314    0.000289274
-2.65    -2.5       5     0   200        1.30502     -0.0221001    0.000253673
-2.5  -2.322       5     0   200        1.29832     -0.0188651    0.000288286
-2.322  -2.172       5     0   200        1.26585     -0.0146294    0.000317719
-2.172  -2.043       5     0   200        1.23419     -0.0136739    0.000338031
-2.043   -1.93       5     0   200        1.20417     -0.0127537     0.00034235
-1.93   -1.83       5     0   200        1.18513     -0.0125721    0.000361157
-1.83   -1.74       5     0   200        1.17444     -0.0130225    0.000395004
-1.74  -1.653       5     0   200        1.17435     -0.0139496    0.000443679
-1.653  -1.566       5     0   200        1.17434     -0.0149428    0.000495369
-1.566  -1.479       5     0   200         1.1746     -0.0156952     0.00053718
-1.479  -1.392       5     0   200        1.17844     -0.0164079    0.000574172
-1.392  -1.305       5     0   200        1.18483     -0.0170716    0.000603268
-1.305  -1.218       5     0   200        1.19166     -0.0174828    0.000618911
-1.218  -1.131       5     0   200        1.19702     -0.0176265    0.000622361
-1.131  -1.044       5     0   200        1.20138     -0.0177324    0.000621682
-1.044  -0.957       5     0   200        1.20419     -0.0176658    0.000611585
-0.957  -0.879       5     0   200        1.20649     -0.0176991    0.000601162
-0.879  -0.783       5     0   200        1.21439      -0.017928    0.000595279
-0.783  -0.696       5     0   200        1.22159     -0.0182328      0.0005945
-0.696  -0.609       5     0   200        1.22738     -0.0185502    0.000598241
-0.609  -0.522       5     0   200        1.23344     -0.0188932    0.000604752
-0.522  -0.435       5     0   200        1.24052     -0.0193535    0.000616137
-0.435  -0.348       5     0   200         1.2477     -0.0197335     0.00062424
-0.348  -0.261       5     0   200        1.25358     -0.0200343     0.00063108
-0.261  -0.174       5     0   200        1.25639     -0.0201743    0.000633949
-0.174  -0.087       5     0   200        1.25598     -0.0200427    0.000628736
-0.087       0       5     0   200        1.25496     -0.0199281    0.000625222
0   0.087       5     0   200         1.2534     -0.0198896    0.000625365
0.087   0.174       5     0   200        1.25008     -0.0196862    0.000619228
0.174   0.261       5     0   200        1.24816      -0.019721    0.000622531
0.261   0.348       5     0   200        1.24289     -0.0194126    0.000615224
0.348   0.435       5     0   200        1.23598     -0.0190274    0.000606109
0.435   0.522       5     0   200        1.22931      -0.018654    0.000597043
0.522   0.609       5     0   200        1.22355     -0.0184392    0.000593064
0.609   0.696       5     0   200        1.21892     -0.0184139    0.000595655
0.696   0.783       5     0   200        1.21278     -0.0182614     0.00059561
0.783   0.879       5     0   200        1.20411     -0.0179886     0.00059669
0.879   0.957       5     0   200        1.19506     -0.0177569    0.000603684
0.957   1.044       5     0   200        1.19092     -0.0176223    0.000610971
1.044   1.131       5     0   200        1.18819     -0.0178526    0.000626098
1.131   1.218       5     0   200         1.1837      -0.017724    0.000627009
1.218   1.305       5     0   200        1.17893     -0.0174239    0.000619839
1.305   1.392       5     0   200        1.17375      -0.016932    0.000603387
1.392   1.479       5     0   200         1.1692     -0.0162964    0.000576247
1.479   1.566       5     0   200        1.16849     -0.0157227    0.000543872
1.566   1.653       5     0   200        1.16945     -0.0150016    0.000501243
1.653    1.74       5     0   200        1.16985     -0.0141012    0.000449487
1.74    1.83       5     0   200        1.17014     -0.0132792    0.000400306
1.83    1.93       5     0   200        1.17651     -0.0126087     0.00035587
1.93   2.043       5     0   200        1.18453     -0.0124369    0.000318784
2.043   2.172       5     0   200        1.19318     -0.0128293    0.000288831
2.172   2.322       5     0   200        1.19393     -0.0128113    0.000242546
2.322     2.5       5     0   200        1.22985      -0.017653    0.000251201
2.5    2.65       5     0   200        1.27157      -0.023042    0.000271666
2.65   2.853       5     0   200         1.2749     -0.0258264    0.000361807
2.853   2.964       5     0   200        1.25524     -0.0258529    0.000453455
2.964   3.139       5     0   200        1.23796     -0.0244935    0.000509462
3.139   3.314       5     0   200        1.20303     -0.0215663    0.000544652
3.314   3.489       5     0   200        1.19407     -0.0221016    0.000613705
3.489   3.664       5     0   200        1.19289     -0.0226488    0.000636559
3.664   3.839       5     0   200        1.18473     -0.0233201    0.000662596
3.839   4.013       5     0   200        1.17227     -0.0239065    0.000686606
4.013   4.191       5     0   200        1.16836     -0.0246365    0.000714127
4.191   4.363       5     0   200        1.15814     -0.0251927    0.000733519
4.363   4.538       5     0   200         1.1405     -0.0253292    0.000739337
4.538   4.716       5     0   200        1.13012     -0.0254067    0.000743177
4.716   4.889       5     0   200        1.12003     -0.0253575    0.000742857
4.889   5.191       5     0   200        1.12181     -0.0254718    0.000754902
