{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.16009     -0.0249338    0.000763737
-4.889  -4.716       5     0   200        1.13723     -0.0243831    0.000735554
-4.716  -4.538       5     0   200        1.12755     -0.0238661    0.000712111
-4.538  -4.363       5     0   200        1.12701     -0.0235365    0.000697643
-4.363  -4.191       5     0   200        1.14491      -0.023561     0.00069592
-4.191  -4.013       5     0   200        1.16544     -0.0235256    0.000692642
-4.013  -3.839       5     0   200        1.17902      -0.023325    0.000682818
-3.839  -3.664       5     0   200        1.19788     -0.0228776    0.000662553
-3.664  -3.489       5     0   200        1.20595     -0.0221301    0.000631714
-3.489  -3.314       5     0   200        1.20238     -0.0212955    0.000597592
-3.314  -3.139       5     0   200        1.20414      -0.019742    0.000507568
-3.139  -2.964       5     0   200        1.21323     -0.0207396     0.00042417
-2.964  -2.853       5     0   200        1.22754     -0.0217448    0.000359557
-2.853   -2.65       5     0   200        1.26491     -0.0225218    0.000284777
-2.65    -2.5       5     0   200        1.30084     -0.0230237    0.000252027
-2.5  -2.322       5     0   200        1.30925     -0.0197201    0.000287578
-2.322  -2.172       5     0   200        1.29131     -0.0127138    0.000352795
-2.172  -2.043       5     0   200        1.27329     -0.0124108    0.000447753
-2.043   -1.93       5     0   200        1.25405     -0.0121942    0.000488223
-1.93   -1.83       5     0   200        1.24088     -0.0128066    0.000523727
-1.83   -1.74       5     0   200        1.23315     -0.0141882    0.000567077
-1.74  -1.653       5     0   200        1.23155     -0.0154861    0.000606558
-1.653  -1.566       5     0   200         1.2242     -0.0166491    0.000647395
-1.566  -1.479       5     0   200        1.21651     -0.0172384    0.000674969
-1.479  -1.392       5     0   200        1.21534     -0.0177925    0.000704793
-1.392  -1.305       5     0   200        1.21818     -0.0182677    0.000727533
-1.305  -1.218       5     0   200        1.22337     -0.0184484    0.000735828
-1.218  -1.131       5     0   200        1.22887     -0.0183246    0.000732838
-1.131  -1.044       5     0   200        1.23551      -0.018318     0.00073217
-1.044  -0.957       5     0   200        1.24216     -0.0181528    0.000722634
-0.957  -0.879       5     0   200        1.25098     -0.0185111    0.000724335
-0.879  -0.783       5     0   200        1.26993     -0.0191207    0.000728666
-0.783  -0.696       5     0   200        1.28651     -0.0200914     0.00074747
-0.696  -0.609       5     0   200        1.29961     -0.0208994    0.000766144
-0.609  -0.522       5     0   200         1.3147     -0.0217883    0.000789511
-0.522  -0.435       5     0   200        1.33081     -0.0228426    0.000819319
-0.435  -0.348       5     0   200        1.34759     -0.0237731    0.000843732
-0.348  -0.261       5     0   200        1.36113     -0.0244598    0.000861174
-0.261  -0.174       5     0   200          1.368     -0.0246946    0.000864943
-0.174  -0.087       5     0   200        1.36796     -0.0243163    0.000850333
-0.087       0       5     0   200        1.36649     -0.0239829     0.00083996
0   0.087       5     0   200        1.36343     -0.0238532    0.000839369
0.087   0.174       5     0   200        1.35567     -0.0234965    0.000831079
0.174   0.261       5     0   200        1.34635     -0.0232463    0.000829782
0.261   0.348       5     0   200        1.33026     -0.0223985    0.000809322
0.348   0.435       5     0   200        1.31237     -0.0215681    0.000789847
0.435   0.522       5     0   200        1.29741     -0.0209435     0.00077602
0.522   0.609       5     0   200        1.28692     -0.0207906    0.000777836
0.609   0.696       5     0   200         1.2788     -0.0208575    0.000786659
0.696   0.783       5     0   200        1.26963     -0.0205649    0.000783329
0.783   0.879       5     0   200        1.25769     -0.0201272      0.0007798
0.879   0.957       5     0   200        1.24345     -0.0197153    0.000781226
0.957   1.044       5     0   200        1.24073     -0.0195614    0.000786133
1.044   1.131       5     0   200         1.2403     -0.0199455    0.000803399
1.131   1.218       5     0   200        1.23418     -0.0195649    0.000793704
1.218   1.305       5     0   200        1.22506     -0.0188343    0.000770593
1.305   1.392       5     0   200        1.21551     -0.0179906    0.000741834
1.392   1.479       5     0   200         1.2082     -0.0171863    0.000711094
1.479   1.566       5     0   200        1.20689     -0.0165498    0.000681643
1.566   1.653       5     0   200        1.20948     -0.0155925    0.000640213
1.653    1.74       5     0   200        1.21254     -0.0143303    0.000588497
1.74    1.83       5     0   200        1.21183     -0.0129127    0.000530325
1.83    1.93       5     0   200        1.22494     -0.0116086    0.000474994
1.93   2.043       5     0   200        1.25211     -0.0114011    0.000431533
2.043   2.172       5     0   200        1.29559     -0.0123145    0.000382281
2.172   2.322       5     0   200         1.3132     -0.0121956    0.000265793
2.322     2.5       5     0   200        1.36279     -0.0218468    0.000296469
2.5    2.65       5     0   200        1.37313     -0.0279345     0.00033663
2.65   2.853       5     0   200        1.31851     -0.0280343    0.000401217
2.853   2.964       5     0   200        1.26327     -0.0261888    0.000459133
2.964   3.139       5     0   200        1.23797     -0.0244938    0.000509469
3.139   3.314       5     0   200        1.20303     -0.0215663    0.000544653
3.314   3.489       5     0   200        1.19407     -0.0221016    0.000613705
3.489   3.664       5     0   200        1.19289     -0.0226488    0.000636559
3.664   3.839       5     0   200        1.18473     -0.0233201    0.000662596
3.839   4.013       5     0   200        1.17227     -0.0239065    0.000686606
4.013   4.191       5     0   200        1.16836     -0.0246365    0.000714127
4.191   4.363       5     0   200        1.15814     -0.0251927    0.000733519
4.363   4.538       5     0   200         1.1405     -0.0253292    0.000739337
4.538   4.716       5     0   200        1.13012     -0.0254067    0.000743177
4.716   4.889       5     0   200        1.12003     -0.0253575    0.000742857
4.889   5.191       5     0   200        1.12181     -0.0254718    0.000754902
