{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.1922 1.0434 1.341
-3.139 -2.964  3 1.1869 1.0626 1.3112
-2.964 -2.853 3 1.7788 1.578 1.9796
-2.853 -2.500 3 1.3418 1.1327 1.5509
-2.500 -2.322 3 1.2963 1.0592 1.5334
-2.322 -2.043 3 1.1512 1.0372 1.2652
-2.043 -1.930 3 1.1426 1.0212 1.264 
-1.930 -1.740 3 1.1000 0.9921 1.2079
-1.740 -1.305 3 1.1278 1.0292 1.2264
-1.305 -1.131 3 1.1609 1.0584 1.2634
-1.131 -0.783 3 1.1464 1.0832 1.2096 
-0.783 -0.522 3 1.1948 1.1296 1.26
-0.522 0.000 3 1.1595 1.095 1.224
0.000 0.522 3 1.1595 1.095 1.224
0.522 0.783 3 1.1948 1.1296 1.26
0.783 1.131 3 1.1464 1.0832 1.2096 
1.131 1.305 3 1.1609 1.0584 1.2634
1.305 1.740 3 1.1278 1.0292 1.2264
1.740 1.930 3 1.1000 0.9921 1.2079
1.930 2.043 3 1.1426 1.0212 1.264 
2.043 2.322 3 1.1512 1.0372 1.2652
2.322 2.500 3 1.2963 1.0592 1.5334
2.500 2.853 3 1.3418 1.1327 1.5509
2.853 2.964 3 1.7788 1.578 1.9796
2.964 3.139 3 1.1869 1.0626 1.3112
3.139 5.191 3 1.1922 1.0434 1.341
