# BEGIN DATA
Process=pp -> en~j
Proc=enj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:08
# END DATA

# BEGIN HISTO1D enj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 3.546319e+01 1.319354e-03 1.319354e-03
4.000000e+01 5.000000e+01 2.027166e+01 7.571894e-04 7.571894e-04
5.000000e+01 6.000000e+01 1.230935e+01 5.177937e-04 5.177937e-04
6.000000e+01 7.000000e+01 7.780339e+00 3.725594e-04 3.725594e-04
7.000000e+01 8.000000e+01 5.071313e+00 2.755003e-04 2.755003e-04
8.000000e+01 9.000000e+01 3.389652e+00 1.509054e-04 1.509054e-04
9.000000e+01 1.000000e+02 2.316832e+00 1.014217e-04 1.014217e-04
1.000000e+02 1.100000e+02 1.615384e+00 7.610894e-05 7.610894e-05
1.100000e+02 1.200000e+02 1.146794e+00 5.860397e-05 5.860397e-05
1.200000e+02 1.300000e+02 8.277701e-01 4.594500e-05 4.594500e-05
1.300000e+02 1.400000e+02 6.066363e-01 3.652100e-05 3.652100e-05
1.400000e+02 1.500000e+02 4.508899e-01 2.938322e-05 2.938322e-05
1.500000e+02 2.000000e+02 2.147587e-01 7.560122e-06 7.560122e-06
2.000000e+02 2.500000e+02 6.528981e-02 3.246719e-06 3.246719e-06
2.500000e+02 3.000000e+02 2.392012e-02 1.591240e-06 1.591240e-06
3.000000e+02 3.500000e+02 1.001217e-02 2.294106e-07 2.294106e-07
3.500000e+02 4.000000e+02 4.626541e-03 1.204518e-07 1.204518e-07
4.000000e+02 4.500000e+02 2.307181e-03 7.152795e-08 7.152795e-08
4.500000e+02 5.000000e+02 1.222100e-03 4.490989e-08 4.490989e-08
5.000000e+02 5.500000e+02 6.798620e-04 2.935489e-08 2.935489e-08
5.500000e+02 6.000000e+02 3.937918e-04 1.981370e-08 1.981370e-08
6.000000e+02 6.500000e+02 2.359424e-04 8.431593e-09 8.431593e-09
6.500000e+02 7.000000e+02 1.454975e-04 5.473423e-09 5.473423e-09
7.000000e+02 7.500000e+02 9.197556e-05 3.824762e-09 3.824762e-09
7.500000e+02 8.000000e+02 5.939794e-05 2.748073e-09 2.748073e-09
8.000000e+02 8.500000e+02 3.908625e-05 2.012731e-09 2.012731e-09
8.500000e+02 9.000000e+02 2.615335e-05 1.498163e-09 1.498163e-09
9.000000e+02 9.500000e+02 1.775736e-05 1.130020e-09 1.130020e-09
9.500000e+02 1.000000e+03 1.221635e-05 8.613866e-10 8.613866e-10
1.000000e+03 1.100000e+03 7.240080e-06 1.858306e-10 1.858306e-10
1.100000e+03 1.200000e+03 3.642984e-06 1.043175e-10 1.043175e-10
1.200000e+03 1.300000e+03 1.894721e-06 6.348482e-11 6.348482e-11
1.300000e+03 1.400000e+03 1.012822e-06 3.985224e-11 3.985224e-11
1.400000e+03 1.600000e+03 4.313029e-07 1.508636e-11 1.508636e-11
1.600000e+03 1.800000e+03 1.376191e-07 6.588635e-12 6.588635e-12
1.800000e+03 2.000000e+03 4.620285e-08 2.976093e-12 2.976093e-12
2.000000e+03 2.200000e+03 1.608070e-08 3.826697e-13 3.826697e-13
2.200000e+03 2.400000e+03 5.736485e-09 1.653888e-13 1.653888e-13
2.400000e+03 2.600000e+03 2.079910e-09 7.676498e-14 7.676498e-14
2.600000e+03 2.800000e+03 7.615138e-10 3.621206e-14 3.621206e-14
2.800000e+03 3.000000e+03 2.799941e-10 1.729082e-14 1.729082e-14
3.000000e+03 6.500000e+03 9.272205e-12 5.412264e-16 5.412264e-16
# END HISTO1D

# BEGIN HISTO1D enj_pTV_K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.013022e+00 3.792853e-05 3.792853e-05
4.000000e+01 5.000000e+01 1.012520e+00 3.804739e-05 3.804739e-05
5.000000e+01 6.000000e+01 1.012080e+00 4.282001e-05 4.282001e-05
6.000000e+01 7.000000e+01 1.011677e+00 4.871565e-05 4.871565e-05
7.000000e+01 8.000000e+01 1.011325e+00 5.523950e-05 5.523950e-05
8.000000e+01 9.000000e+01 1.011011e+00 4.524967e-05 4.524967e-05
9.000000e+01 1.000000e+02 1.010717e+00 4.447346e-05 4.447346e-05
1.000000e+02 1.100000e+02 1.010458e+00 4.784752e-05 4.784752e-05
1.100000e+02 1.200000e+02 1.010230e+00 5.187938e-05 5.187938e-05
1.200000e+02 1.300000e+02 1.010014e+00 5.633058e-05 5.633058e-05
1.300000e+02 1.400000e+02 1.009812e+00 6.108057e-05 6.108057e-05
1.400000e+02 1.500000e+02 1.008722e+00 6.606061e-05 6.606061e-05
1.500000e+02 2.000000e+02 1.006614e+00 3.561686e-05 3.561686e-05
2.000000e+02 2.500000e+02 1.009453e+00 5.053587e-05 5.053587e-05
2.500000e+02 3.000000e+02 1.011697e+00 6.784598e-05 6.784598e-05
3.000000e+02 3.500000e+02 1.013548e+00 2.343745e-05 2.343745e-05
3.500000e+02 4.000000e+02 1.015115e+00 2.670452e-05 2.670452e-05
4.000000e+02 4.500000e+02 1.016482e+00 3.187189e-05 3.187189e-05
4.500000e+02 5.000000e+02 1.017688e+00 3.785405e-05 3.785405e-05
5.000000e+02 5.500000e+02 1.018774e+00 4.455726e-05 4.455726e-05
5.500000e+02 6.000000e+02 1.019767e+00 5.200822e-05 5.200822e-05
6.000000e+02 6.500000e+02 1.020681e+00 3.699036e-05 3.699036e-05
6.500000e+02 7.000000e+02 1.021530e+00 3.900149e-05 3.900149e-05
7.000000e+02 7.500000e+02 1.022329e+00 4.317361e-05 4.317361e-05
7.500000e+02 8.000000e+02 1.023086e+00 4.809565e-05 4.809565e-05
8.000000e+02 8.500000e+02 1.023810e+00 5.359790e-05 5.359790e-05
8.500000e+02 9.000000e+02 1.024507e+00 5.969427e-05 5.969427e-05
9.000000e+02 9.500000e+02 1.025176e+00 6.639091e-05 6.639091e-05
9.500000e+02 1.000000e+03 1.025826e+00 7.364547e-05 7.364547e-05
1.000000e+03 1.100000e+03 1.026716e+00 2.684783e-05 2.684783e-05
1.100000e+03 1.200000e+03 1.027940e+00 3.002072e-05 3.002072e-05
1.200000e+03 1.300000e+03 1.029134e+00 3.520045e-05 3.520045e-05
1.300000e+03 1.400000e+03 1.030312e+00 4.142143e-05 4.142143e-05
1.400000e+03 1.600000e+03 1.031886e+00 3.692077e-05 3.692077e-05
1.600000e+03 1.800000e+03 1.034200e+00 5.073877e-05 5.073877e-05
1.800000e+03 2.000000e+03 1.036524e+00 6.854004e-05 6.854004e-05
2.000000e+03 2.200000e+03 1.038865e+00 2.542000e-05 2.542000e-05
2.200000e+03 2.400000e+03 1.041217e+00 3.092769e-05 3.092769e-05
2.400000e+03 2.600000e+03 1.043569e+00 3.975197e-05 3.975197e-05
2.600000e+03 2.800000e+03 1.045924e+00 5.141939e-05 5.141939e-05
2.800000e+03 3.000000e+03 1.048286e+00 6.703726e-05 6.703726e-05
3.000000e+03 6.500000e+03 1.051867e+00 6.369213e-05 6.369213e-05
# END HISTO1D

# BEGIN HISTO1D enj_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.134067e-01 3.792853e-05 3.792853e-05
4.000000e+01 5.000000e+01 1.112058e-01 3.804739e-05 3.804739e-05
5.000000e+01 6.000000e+01 1.092090e-01 4.282001e-05 4.282001e-05
6.000000e+01 7.000000e+01 1.073992e-01 4.871565e-05 4.871565e-05
7.000000e+01 8.000000e+01 1.057519e-01 5.523950e-05 5.523950e-05
8.000000e+01 9.000000e+01 1.042550e-01 4.524967e-05 4.524967e-05
9.000000e+01 1.000000e+02 1.028875e-01 4.447346e-05 4.447346e-05
1.000000e+02 1.100000e+02 1.016374e-01 4.784752e-05 4.784752e-05
1.100000e+02 1.200000e+02 1.004898e-01 5.187938e-05 5.187938e-05
1.200000e+02 1.300000e+02 9.942903e-02 5.633058e-05 5.633058e-05
1.300000e+02 1.400000e+02 9.844772e-02 6.108057e-05 6.108057e-05
1.400000e+02 1.500000e+02 9.845068e-02 6.606061e-05 6.606061e-05
1.500000e+02 2.000000e+02 1.037599e-01 3.561686e-05 3.561686e-05
2.000000e+02 2.500000e+02 1.188031e-01 5.053587e-05 5.053587e-05
2.500000e+02 3.000000e+02 1.302784e-01 6.784598e-05 6.784598e-05
3.000000e+02 3.500000e+02 1.394879e-01 2.343745e-05 2.343745e-05
3.500000e+02 4.000000e+02 1.471447e-01 2.670452e-05 2.670452e-05
4.000000e+02 4.500000e+02 1.536966e-01 3.187189e-05 3.187189e-05
4.500000e+02 5.000000e+02 1.594208e-01 3.785405e-05 3.785405e-05
5.000000e+02 5.500000e+02 1.645132e-01 4.455726e-05 4.455726e-05
5.500000e+02 6.000000e+02 1.691084e-01 5.200822e-05 5.200822e-05
6.000000e+02 6.500000e+02 1.733065e-01 3.699036e-05 3.699036e-05
6.500000e+02 7.000000e+02 1.771869e-01 3.900149e-05 3.900149e-05
7.000000e+02 7.500000e+02 1.808044e-01 4.317361e-05 4.317361e-05
7.500000e+02 8.000000e+02 1.842030e-01 4.809565e-05 4.809565e-05
8.000000e+02 8.500000e+02 1.874219e-01 5.359790e-05 5.359790e-05
8.500000e+02 9.000000e+02 1.904879e-01 5.969427e-05 5.969427e-05
9.000000e+02 9.500000e+02 1.934274e-01 6.639091e-05 6.639091e-05
9.500000e+02 1.000000e+03 1.962644e-01 7.364547e-05 7.364547e-05
1.000000e+03 1.100000e+03 2.001038e-01 2.684783e-05 2.684783e-05
1.100000e+03 1.200000e+03 2.053174e-01 3.002072e-05 3.002072e-05
1.200000e+03 1.300000e+03 2.103080e-01 3.520045e-05 3.520045e-05
1.300000e+03 1.400000e+03 2.151355e-01 4.142143e-05 4.142143e-05
1.400000e+03 1.600000e+03 2.214859e-01 3.692077e-05 3.692077e-05
1.600000e+03 1.800000e+03 2.305753e-01 5.073877e-05 5.073877e-05
1.800000e+03 2.000000e+03 2.393818e-01 6.854004e-05 6.854004e-05
2.000000e+03 2.200000e+03 2.479713e-01 2.542000e-05 2.542000e-05
2.200000e+03 2.400000e+03 2.563564e-01 3.092769e-05 3.092769e-05
2.400000e+03 2.600000e+03 2.645398e-01 3.975197e-05 3.975197e-05
2.600000e+03 2.800000e+03 2.725016e-01 5.141939e-05 5.141939e-05
2.800000e+03 3.000000e+03 2.802264e-01 6.703726e-05 6.703726e-05
3.000000e+03 6.500000e+03 2.915701e-01 6.369213e-05 6.369213e-05
# END HISTO1D

# BEGIN HISTO1D enj_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.129246e-01 -3.776728e-05 -3.776728e-05
4.000000e+01 5.000000e+01 -1.103667e-01 -3.776030e-05 -3.776030e-05
5.000000e+01 6.000000e+01 -1.079242e-01 -4.231625e-05 -4.231625e-05
